path,name,samgov_agencycode,samgov_cgaclist_0_cgac,samgov_cgaclist_1_cgac,samgov_cgaclist_2_cgac,samgov_cgaclist_3_cgac,samgov_cgaclist_4_cgac,samgov_createdby,samgov_createddate,samgov_fhagencyorgname,samgov_fhdeptindagencyorgid,samgov_fhorgid,samgov_fhorgname,samgov_fhorgnamehistory_0_effectivedate,samgov_fhorgnamehistory_0_fhorgname,samgov_fhorgparenthistory_0_actiontype,samgov_fhorgparenthistory_0_codehierarchy,samgov_fhorgparenthistory_0_effectivedate,samgov_fhorgparenthistory_0_fhfullparentpathid,samgov_fhorgparenthistory_0_fhfullparentpathname,samgov_fhorgtype,samgov_lastupdateddate,samgov_links_0_href,samgov_links_0_rel,samgov_links_1_href,samgov_links_1_rel,samgov_name,samgov_oldfpdsofficecode,samgov_status,samgov_updatedby
/US FEDERAL GOVERNMENT/DISTRICT OF COLUMBIA COURTS (500154577),DISTRICT OF COLUMBIA COURTS (500154577),9534,349,,,,,michael.stephenson@gsa.gov,2020-02-10 09:20,DISTRICT OF COLUMBIA COURTS,500154577,500154577,DISTRICT OF COLUMBIA COURTS,2020-02-03 00:00,DISTRICT OF COLUMBIA COURTS,CREATE,,2020-02-03 00:00,500154577,DISTRICT OF COLUMBIA COURTS,Department/Ind. Agency,2020-02-10 09:20,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=500154577,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=500154577,nextlevelchildren,DISTRICT OF COLUMBIA COURTS,,ACTIVE,michael.stephenson@gsa.gov
"/US FEDERAL GOVERNMENT/EDUCATION, DEPARTMENT OF (100001616)","EDUCATION, DEPARTMENT OF (100001616)",9100,091,,,,,,1996-07-30 00:00,"EDUCATION, DEPARTMENT OF",100001616,100001616,"EDUCATION, DEPARTMENT OF",1957-07-01 00:00,"EDUCATION, DEPARTMENT OF",CREATE,,1957-07-01 00:00,100001616,"EDUCATION, DEPARTMENT OF",Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100001616,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100001616,nextlevelchildren,"EDUCATION, DEPARTMENT OF",9100,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/ELECTION ASSISTANCE COMMISSION (100112407),ELECTION ASSISTANCE COMMISSION (100112407),9523,525,,,,,DGANN@EAC.GOV,2009-10-26 00:00,ELECTION ASSISTANCE COMMISSION,100112407,100112407,ELECTION ASSISTANCE COMMISSION,1957-07-01 00:00,ELECTION ASSISTANCE COMMISSION,CREATE,,1957-07-01 00:00,100112407,ELECTION ASSISTANCE COMMISSION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100112407,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100112407,nextlevelchildren,ELECTION ASSISTANCE COMMISSION,9523,ACTIVE,FPDS_START_DATE_FIX
"/US FEDERAL GOVERNMENT/ENERGY, DEPARTMENT OF (100011980)","ENERGY, DEPARTMENT OF (100011980)",8900,089,,,,,,2003-02-21 00:00,"ENERGY, DEPARTMENT OF",100011980,100011980,"ENERGY, DEPARTMENT OF",1957-07-01 00:00,"ENERGY, DEPARTMENT OF",CREATE,,1957-07-01 00:00,100011980,"ENERGY, DEPARTMENT OF",Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100011980,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100011980,nextlevelchildren,"ENERGY, DEPARTMENT OF",8900,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/ENVIRONMENTAL PROTECTION AGENCY (100081847),ENVIRONMENTAL PROTECTION AGENCY (100081847),6800,068,,,,,,2006-08-12 00:00,ENVIRONMENTAL PROTECTION AGENCY,100081847,100081847,ENVIRONMENTAL PROTECTION AGENCY,1957-07-01 00:00,ENVIRONMENTAL PROTECTION AGENCY,CREATE,,1957-07-01 00:00,100081847,ENVIRONMENTAL PROTECTION AGENCY,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100081847,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100081847,nextlevelchildren,ENVIRONMENTAL PROTECTION AGENCY,6800,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/EQUAL EMPLOYMENT OPPORTUNITY COMMISSION (100011800),EQUAL EMPLOYMENT OPPORTUNITY COMMISSION (100011800),4500,045,,,,,,1996-07-30 00:00,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,100011800,100011800,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,1957-07-01 00:00,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,CREATE,,1957-07-01 00:00,100011800,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100011800,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100011800,nextlevelchildren,EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,4500,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/EXECUTIVE OFFICE OF THE PRESIDENT (100041854),EXECUTIVE OFFICE OF THE PRESIDENT (100041854),1100,011,,,,,,2003-11-20 00:00,EXECUTIVE OFFICE OF THE PRESIDENT,100041854,100041854,EXECUTIVE OFFICE OF THE PRESIDENT,1957-07-01 00:00,EXECUTIVE OFFICE OF THE PRESIDENT,CREATE,,1957-07-01 00:00,100041854,EXECUTIVE OFFICE OF THE PRESIDENT,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100041854,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100041854,nextlevelchildren,EXECUTIVE OFFICE OF THE PRESIDENT,1100,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/EXPORT-IMPORT BANK OF THE U.S. (100140118),EXPORT-IMPORT BANK OF THE U.S. (100140118),8300,083,,,,,,2013-06-19 00:00,EXPORT-IMPORT BANK OF THE US,100140118,100140118,EXPORT-IMPORT BANK OF THE U.S.,1957-07-01 00:00,EXPORT-IMPORT BANK OF THE U.S.,CREATE,,1957-07-01 00:00,100140118,EXPORT-IMPORT BANK OF THE US,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100140118,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100140118,nextlevelchildren,EXPORT-IMPORT BANK OF THE U.S.,8300,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/FARM CREDIT ADMINISTRATION (300000044),FARM CREDIT ADMINISTRATION (300000044),7800,352,,,,,IAE_DATA_TEAM,2017-10-05 12:35,FARM CREDIT ADMINISTRATION,300000044,300000044,FARM CREDIT ADMINISTRATION,1957-07-01 00:00,FARM CREDIT ADMINISTRATION,CREATE,,1957-07-01 00:00,300000044,FARM CREDIT ADMINISTRATION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000044,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000044,nextlevelchildren,FARM CREDIT ADMINISTRATION,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/FEDERAL COMMUNICATIONS COMMISSION (100076366),FEDERAL COMMUNICATIONS COMMISSION (100076366),2700,027,,,,,,2004-06-03 00:00,FEDERAL COMMUNICATIONS COMMISSION,100076366,100076366,FEDERAL COMMUNICATIONS COMMISSION,1957-07-01 00:00,FEDERAL COMMUNICATIONS COMMISSION,CREATE,,1957-07-01 00:00,100076366,FEDERAL COMMUNICATIONS COMMISSION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100076366,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100076366,nextlevelchildren,FEDERAL COMMUNICATIONS COMMISSION,2700,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/FEDERAL DEPOSIT INSURANCE CORPORATION (300000034),FEDERAL DEPOSIT INSURANCE CORPORATION (300000034),5100,051,,,,,IAE_DATA_TEAM,2017-10-05 12:35,FEDERAL DEPOSIT INSURANCE CORPORATION,300000034,300000034,FEDERAL DEPOSIT INSURANCE CORPORATION,1957-07-01 00:00,FEDERAL DEPOSIT INSURANCE CORPORATION,CREATE,,1957-07-01 00:00,300000034,FEDERAL DEPOSIT INSURANCE CORPORATION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000034,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000034,nextlevelchildren,FEDERAL DEPOSIT INSURANCE CORPORATION,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/FEDERAL ELECTION COMMISSION (300000050),FEDERAL ELECTION COMMISSION (300000050),9506,360,,,,,IAE_DATA_TEAM,2017-10-05 12:35,FEDERAL ELECTION COMMISSION,300000050,300000050,FEDERAL ELECTION COMMISSION,1957-07-01 00:00,FEDERAL ELECTION COMMISSION,CREATE,,1957-07-01 00:00,300000050,FEDERAL ELECTION COMMISSION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000050,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000050,nextlevelchildren,FEDERAL ELECTION COMMISSION,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL (300000078),FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL (300000078),9562,362,,,,,IAE_DATA_TEAM,2017-10-05 12:35,FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL,300000078,300000078,FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL,1957-07-01 00:00,FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL,CREATE,,1957-07-01 00:00,300000078,FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL,Department/Ind. Agency,2020-01-08 15:09,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000078,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000078,nextlevelchildren,FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL,,ACTIVE,IAE_29492_FFIEC
/US FEDERAL GOVERNMENT/FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL APPRAISAL SUBCOMMITTEE (500049350),FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL APPRAISAL SUBCOMMITTEE (500049350),9563,362,,,,,michael.stephenson@gsa.gov,2020-01-24 08:17,FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL APPRAISAL SUBCOMMITTEE,500049350,500049350,FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL APPRAISAL SUBCOMMITTEE,2020-01-17 00:00,FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL APPRAISAL SUBCOMMITTEE,CREATE,,2020-01-17 00:00,500049350,FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL APPRAISAL SUBCOMMITTEE,Department/Ind. Agency,2020-02-20 14:43,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=500049350,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=500049350,nextlevelchildren,FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL APPRAISAL SUBCOMMITTEE,,ACTIVE,michael.stephenson@gsa.gov
/US FEDERAL GOVERNMENT/FEDERAL HOME LOAN BANK BOARD (300000045),FEDERAL HOME LOAN BANK BOARD (300000045),8200,913,,,,,IAE_DATA_TEAM,2017-10-05 12:35,FEDERAL HOME LOAN BANK BOARD,300000045,300000045,FEDERAL HOME LOAN BANK BOARD,1957-07-01 00:00,FEDERAL HOME LOAN BANK BOARD,CREATE,,1957-07-01 00:00,300000045,FEDERAL HOME LOAN BANK BOARD,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000045,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000045,nextlevelchildren,FEDERAL HOME LOAN BANK BOARD,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/FEDERAL HOUSING FINANCE AGENCY (300000069),FEDERAL HOUSING FINANCE AGENCY (300000069),9542,537,,,,,IAE_DATA_TEAM,2017-10-05 12:35,FEDERAL HOUSING FINANCE AGENCY,300000069,300000069,FEDERAL HOUSING FINANCE AGENCY,2008-07-30 00:00,FEDERAL HOUSING FINANCE AGENCY,CREATE,,2008-07-30 00:00,300000069,FEDERAL HOUSING FINANCE AGENCY,Department/Ind. Agency,2019-10-23 18:37,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000069,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000069,nextlevelchildren,FEDERAL HOUSING FINANCE AGENCY,,ACTIVE,michael.stephenson@gsa.gov
/US FEDERAL GOVERNMENT/FEDERAL HOUSING FINANCE BOARD (300000067),FEDERAL HOUSING FINANCE BOARD (300000067),9540,364,,,,,IAE_DATA_TEAM,2017-10-05 12:35,FEDERAL HOUSING FINANCE BOARD,300000067,300000067,FEDERAL HOUSING FINANCE BOARD,1957-07-01 00:00,FEDERAL HOUSING FINANCE BOARD,CREATE,,1957-07-01 00:00,300000067,FEDERAL HOUSING FINANCE BOARD,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000067,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000067,nextlevelchildren,FEDERAL HOUSING FINANCE BOARD,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/FEDERAL JUDICIAL CENTER (300000016),FEDERAL JUDICIAL CENTER (300000016),1028,010,,,,,IAE_DATA_TEAM,2017-10-05 12:35,FEDERAL JUDICIAL CENTER,300000016,300000016,FEDERAL JUDICIAL CENTER,1957-07-01 00:00,FEDERAL JUDICIAL CENTER,CREATE,,1957-07-01 00:00,300000016,FEDERAL JUDICIAL CENTER,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000016,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000016,nextlevelchildren,FEDERAL JUDICIAL CENTER,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/FEDERAL LABOR RELATIONS AUTHORITY (300000037),FEDERAL LABOR RELATIONS AUTHORITY (300000037),5400,054,,,,,IAE_DATA_TEAM,2017-10-05 12:35,FEDERAL LABOR RELATIONS AUTHORITY,300000037,300000037,FEDERAL LABOR RELATIONS AUTHORITY,1957-07-01 00:00,FEDERAL LABOR RELATIONS AUTHORITY,CREATE,,1957-07-01 00:00,300000037,FEDERAL LABOR RELATIONS AUTHORITY,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000037,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000037,nextlevelchildren,FEDERAL LABOR RELATIONS AUTHORITY,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/FEDERAL MARITIME COMMISSION (100015073),FEDERAL MARITIME COMMISSION (100015073),6500,065,,,,,MIGRATOR,1996-07-30 00:00,FEDERAL MARITIME COMMISSION,100015073,100015073,FEDERAL MARITIME COMMISSION,1957-07-01 00:00,FEDERAL MARITIME COMMISSION,CREATE,,1957-07-01 00:00,100015073,FEDERAL MARITIME COMMISSION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100015073,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100015073,nextlevelchildren,FEDERAL MARITIME COMMISSION,6500,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/FEDERAL MEDIATION AND CONCILIATION SERVICE (100136900),FEDERAL MEDIATION AND CONCILIATION SERVICE (100136900),9300,093,,,,,,1996-07-30 00:00,FEDERAL MEDIATION AND CONCILIATION SERVICE,100136900,100136900,FEDERAL MEDIATION AND CONCILIATION SERVICE,1957-07-01 00:00,FEDERAL MEDIATION AND CONCILIATION SERVICE,CREATE,,1957-07-01 00:00,100136900,FEDERAL MEDIATION AND CONCILIATION SERVICE,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100136900,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100136900,nextlevelchildren,FEDERAL MEDIATION AND CONCILIATION SERVICE,9300,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION (300000049),FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION (300000049),9504,368,,,,,IAE_DATA_TEAM,2017-10-05 12:35,FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION,300000049,300000049,FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION,1957-07-01 00:00,FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION,CREATE,,1957-07-01 00:00,300000049,FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000049,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000049,nextlevelchildren,FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/FEDERAL PERMITTING IMPROVEMENT STEERING COUNCIL (500049443),FEDERAL PERMITTING IMPROVEMENT STEERING COUNCIL (500049443),9550,473,,,,,michael.stephenson@gsa.gov,2020-01-29 12:48,FEDERAL PERMITTING IMPROVEMENT STEERING COUNCIL,500049443,500049443,FEDERAL PERMITTING IMPROVEMENT STEERING COUNCIL,2020-01-29 00:00,FEDERAL PERMITTING IMPROVEMENT STEERING COUNCIL,CREATE,,2020-01-29 00:00,500049443,FEDERAL PERMITTING IMPROVEMENT STEERING COUNCIL,Department/Ind. Agency,2020-01-29 12:48,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=500049443,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=500049443,nextlevelchildren,FEDERAL PERMITTING IMPROVEMENT STEERING COUNCIL,,ACTIVE,michael.stephenson@gsa.gov
"/US FEDERAL GOVERNMENT/FEDERAL RESERVE SYSTEM, BOARD OF GOVERNORS (300000543)","FEDERAL RESERVE SYSTEM, BOARD OF GOVERNORS (300000543)",9559,920,,,,,DATA TEAM,2017-10-19 10:42,"FEDERAL RESERVE SYSTEM, BOARD OF GOVERNORS",300000543,300000543,"FEDERAL RESERVE SYSTEM, BOARD OF GOVERNORS",1957-07-01 00:00,"FEDERAL RESERVE SYSTEM, BOARD OF GOVERNORS",CREATE,,1957-07-01 00:00,300000543,"FEDERAL RESERVE SYSTEM, BOARD OF GOVERNORS",Department/Ind. Agency,2020-07-20 22:36,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000543,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000543,nextlevelchildren,"FEDERAL RESERVE SYSTEM, BOARD OF GOVERNORS",,ACTIVE,anagha.kohojkar+2@gsa.gov
/US FEDERAL GOVERNMENT/FEDERAL RETIREMENT THRIFT INVESTMENT BOARD (300000022),FEDERAL RETIREMENT THRIFT INVESTMENT BOARD (300000022),2600,026,,,,,IAE_DATA_TEAM,2017-10-05 12:35,FEDERAL RETIREMENT THRIFT INVESTMENT BOARD,300000022,300000022,FEDERAL RETIREMENT THRIFT INVESTMENT BOARD,1957-07-01 00:00,FEDERAL RETIREMENT THRIFT INVESTMENT BOARD,CREATE,,1957-07-01 00:00,300000022,FEDERAL RETIREMENT THRIFT INVESTMENT BOARD,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000022,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000022,nextlevelchildren,FEDERAL RETIREMENT THRIFT INVESTMENT BOARD,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/FEDERAL TRADE COMMISSION (100167226),FEDERAL TRADE COMMISSION (100167226),2900,029,,,,,,1996-07-30 00:00,FEDERAL TRADE COMMISSION,100167226,100167226,FEDERAL TRADE COMMISSION,1957-07-01 00:00,FEDERAL TRADE COMMISSION,CREATE,,1957-07-01 00:00,100167226,FEDERAL TRADE COMMISSION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100167226,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100167226,nextlevelchildren,FEDERAL TRADE COMMISSION,2900,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/GENERAL SERVICES ADMINISTRATION (100006688),GENERAL SERVICES ADMINISTRATION (100006688),4700,047,,,,,,2003-06-11 00:00,GENERAL SERVICES ADMINISTRATION,100006688,100006688,GENERAL SERVICES ADMINISTRATION,1978-10-01 00:00,GENERAL SERVICES ADMINISTRATION,CREATE,,1978-10-01 00:00,100006688,GENERAL SERVICES ADMINISTRATION,Department/Ind. Agency,2019-09-14 18:41,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100006688,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100006688,nextlevelchildren,GENERAL SERVICES ADMINISTRATION,4700,ACTIVE,FPDS_START_DATE_FIX
"/US FEDERAL GOVERNMENT/STATE, DEPARTMENT OF (100012062)","STATE, DEPARTMENT OF (100012062)",1900,019,,,,,,2003-05-06 00:00,"STATE, DEPARTMENT OF",100012062,100012062,"STATE, DEPARTMENT OF",1957-07-01 00:00,"STATE, DEPARTMENT OF",CREATE,,1957-07-01 00:00,100012062,"STATE, DEPARTMENT OF",Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100012062,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100012062,nextlevelchildren,"STATE, DEPARTMENT OF",1900,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/STATE JUSTICE INSTITUTE (300000028),STATE JUSTICE INSTITUTE (300000028),4817,453,,,,,IAE_DATA_TEAM,2017-10-05 12:35,STATE JUSTICE INSTITUTE,300000028,300000028,STATE JUSTICE INSTITUTE,1957-07-01 00:00,STATE JUSTICE INSTITUTE,CREATE,,1957-07-01 00:00,300000028,STATE JUSTICE INSTITUTE,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000028,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000028,nextlevelchildren,STATE JUSTICE INSTITUTE,,ACTIVE,FPDS_START_DATE_FIX
"/US FEDERAL GOVERNMENT/HEALTH AND HUMAN SERVICES, DEPARTMENT OF (100004222)","HEALTH AND HUMAN SERVICES, DEPARTMENT OF (100004222)",7500,075,,,,,,1996-07-30 00:00,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",100004222,100004222,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",1957-07-01 00:00,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",CREATE,,1957-07-01 00:00,100004222,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100004222,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100004222,nextlevelchildren,"HEALTH AND HUMAN SERVICES, DEPARTMENT OF",7500,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/SUPREME COURT OF THE UNITED STATES (300000011),SUPREME COURT OF THE UNITED STATES (300000011),1001,010,,,,,IAE_DATA_TEAM,2017-10-05 12:35,SUPREME COURT OF THE UNITED STATES,300000011,300000011,SUPREME COURT OF THE UNITED STATES,1957-07-01 00:00,SUPREME COURT OF THE UNITED STATES,CREATE,,1957-07-01 00:00,300000011,SUPREME COURT OF THE UNITED STATES,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000011,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000011,nextlevelchildren,SUPREME COURT OF THE UNITED STATES,,ACTIVE,FPDS_START_DATE_FIX
"/US FEDERAL GOVERNMENT/LABOR, DEPARTMENT OF (100012049)","LABOR, DEPARTMENT OF (100012049)",1600,016,,,,,,2003-02-26 00:00,"LABOR, DEPARTMENT OF",100012049,100012049,"LABOR, DEPARTMENT OF",1957-07-01 00:00,"LABOR, DEPARTMENT OF",CREATE,,1957-07-01 00:00,100012049,"LABOR, DEPARTMENT OF",Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100012049,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100012049,nextlevelchildren,"LABOR, DEPARTMENT OF",1600,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/SOCIAL SECURITY ADMINISTRATION (100012403),SOCIAL SECURITY ADMINISTRATION (100012403),2800,028,,,,,,2004-11-12 00:00,SOCIAL SECURITY ADMINISTRATION,100012403,100012403,SOCIAL SECURITY ADMINISTRATION,1957-07-01 00:00,SOCIAL SECURITY ADMINISTRATION,CREATE,,1957-07-01 00:00,100012403,SOCIAL SECURITY ADMINISTRATION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100012403,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100012403,nextlevelchildren,SOCIAL SECURITY ADMINISTRATION,2800,ACTIVE,FPDS_START_DATE_FIX
"/US FEDERAL GOVERNMENT/HOMELAND SECURITY, DEPARTMENT OF (100011942)","HOMELAND SECURITY, DEPARTMENT OF (100011942)",7000,070,,,,,,2003-06-20 00:00,"HOMELAND SECURITY, DEPARTMENT OF",100011942,100011942,"HOMELAND SECURITY, DEPARTMENT OF",1957-07-01 00:00,"HOMELAND SECURITY, DEPARTMENT OF",CREATE,,1957-07-01 00:00,100011942,"HOMELAND SECURITY, DEPARTMENT OF",Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100011942,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100011942,nextlevelchildren,"HOMELAND SECURITY, DEPARTMENT OF",7000,ACTIVE,FPDS_START_DATE_FIX
