path,name,budget
/US FEDERAL GOVERNMENT/[budget] Other Commissions and Boards (505),[budget] Other Commissions and Boards (505),"{'budget_level': 'agency', 'agency_code': 505, 'agency_name': 'Other Commissions and Boards', '2019': 1000, '2020': 1000, '2021': 1000, '2022': 1000, '2023': 1000, '2024': 1000, 'name': 'Other Commissions and Boards', 'id': '505'}"
/US FEDERAL GOVERNMENT/[budget] Other Commissions and Boards (505)/[budget] Other Commissions and Boards (505-0),[budget] Other Commissions and Boards (505-0),"{'budget_level': 'bureau', 'agency_code': 505, 'agency_name': 'Other Commissions and Boards', 'bureau_code': 0, 'bureau_name': 'Other Commissions and Boards', '2019': 1000, '2020': 1000, '2021': 1000, '2022': 1000, '2023': 1000, '2024': 1000, 'name': 'Other Commissions and Boards', 'id': '505-0'}"
/US FEDERAL GOVERNMENT/[budget] Department of Defense--Military Programs (7),[budget] Department of Defense--Military Programs (7),"{'budget_level': 'agency', 'agency_code': 7, 'agency_name': 'Department of Defense--Military Programs', '2019': 653992000, '2020': 690420000, '2021': 717582000, '2022': 726626000, '2023': 771250000, '2024': 862986000, 'name': 'Department of Defense--Military Programs', 'id': '7'}"
"/US FEDERAL GOVERNMENT/[budget] Department of Defense--Military Programs (7)/[budget] Research, Development, Test, and Evaluation (7-20)","[budget] Research, Development, Test, and Evaluation (7-20)","{'budget_level': 'bureau', 'agency_code': 7, 'agency_name': 'Department of Defense--Military Programs', 'bureau_code': 20, 'bureau_name': 'Research, Development, Test, and Evaluation', '2019': 89280000, '2020': 99875000, '2021': 105663000, '2022': 107059000, '2023': 122940000, '2024': 147553000, 'name': 'Research, Development, Test, and Evaluation', 'id': '7-20'}"
/US FEDERAL GOVERNMENT/[budget] Department of Defense--Military Programs (7)/[budget] Trust Funds (7-55),[budget] Trust Funds (7-55),"{'budget_level': 'bureau', 'agency_code': 7, 'agency_name': 'Department of Defense--Military Programs', 'bureau_code': 55, 'bureau_name': 'Trust Funds', '2019': 343000, '2020': 453000, '2021': 545000, '2022': 592000, '2023': 1222000, '2024': 809000, 'name': 'Trust Funds', 'id': '7-55'}"
/US FEDERAL GOVERNMENT/[budget] Department of Defense--Military Programs (7)/[budget] Military Construction (7-25),[budget] Military Construction (7-25),"{'budget_level': 'bureau', 'agency_code': 7, 'agency_name': 'Department of Defense--Military Programs', 'bureau_code': 25, 'bureau_name': 'Military Construction', '2019': 7412000, '2020': 8882000, '2021': 9146000, '2022': 9726000, '2023': 11399000, '2024': 15185000, 'name': 'Military Construction', 'id': '7-25'}"
/US FEDERAL GOVERNMENT/[budget] Department of Defense--Military Programs (7)/[budget] Military Construction (7-25)/[budget] North Atlantic Treaty Organization Security Investment Program (7-25-804),[budget] North Atlantic Treaty Organization Security Investment Program (7-25-804),"{'budget_level': 'account', 'agency_code': 7, 'agency_name': 'Department of Defense--Military Programs', 'bureau_code': 25, 'bureau_name': 'Military Construction', 'account_code': 804, 'account_name': 'North Atlantic Treaty Organization Security Investment Program', '2019': 128000, '2020': 86000, '2021': 209000, '2022': 171000, '2023': 448000, '2024': 438000, 'name': 'North Atlantic Treaty Organization Security Investment Program', 'id': '7-25-804'}"
/US FEDERAL GOVERNMENT/[budget] Department of Defense--Military Programs (7)/[budget] Family Housing (7-30),[budget] Family Housing (7-30),"{'budget_level': 'bureau', 'agency_code': 7, 'agency_name': 'Department of Defense--Military Programs', 'bureau_code': 30, 'bureau_name': 'Family Housing', '2019': 1166000, '2020': 1293000, '2021': 1450000, '2022': 1423000, '2023': 1626000, '2024': 1652000, 'name': 'Family Housing', 'id': '7-30'}"
/US FEDERAL GOVERNMENT/[budget] Department of Defense--Military Programs (7)/[budget] Procurement (7-15),[budget] Procurement (7-15),"{'budget_level': 'bureau', 'agency_code': 7, 'agency_name': 'Department of Defense--Military Programs', 'bureau_code': 15, 'bureau_name': 'Procurement', '2019': 124699000, '2020': 139055000, '2021': 141440000, '2022': 136176000, '2023': 141079000, '2024': 156374000, 'name': 'Procurement', 'id': '7-15'}"
/US FEDERAL GOVERNMENT/[budget] Department of Defense--Military Programs (7)/[budget] Procurement (7-15)/[budget] Defense Production Act Program (7-15-361),[budget] Defense Production Act Program (7-15-361),"{'budget_level': 'account', 'agency_code': 7, 'agency_name': 'Department of Defense--Military Programs', 'bureau_code': 15, 'bureau_name': 'Procurement', 'account_code': 361, 'account_name': 'Defense Production Act Program', '2019': 0, '2020': 0, '2021': 6000, '2022': 4000, '2023': 4000, '2024': 4000, 'name': 'Defense Production Act Program', 'id': '7-15-361'}"
/US FEDERAL GOVERNMENT/[budget] Department of Defense--Military Programs (7)/[budget] Military Personnel (7-5),[budget] Military Personnel (7-5),"{'budget_level': 'bureau', 'agency_code': 7, 'agency_name': 'Department of Defense--Military Programs', 'bureau_code': 5, 'bureau_name': 'Military Personnel', '2019': 156267000, '2020': 161416000, '2021': 172580000, '2022': 180774000, '2023': 184563000, '2024': 193512000, 'name': 'Military Personnel', 'id': '7-5'}"
/US FEDERAL GOVERNMENT/[budget] Department of Defense--Military Programs (7)/[budget] Revolving and Management Funds (7-40),[budget] Revolving and Management Funds (7-40),"{'budget_level': 'bureau', 'agency_code': 7, 'agency_name': 'Department of Defense--Military Programs', 'bureau_code': 40, 'bureau_name': 'Revolving and Management Funds', '2019': 5322000, '2020': 2255000, '2021': 2697000, '2022': 1354000, '2023': 257000, '2024': 3903000, 'name': 'Revolving and Management Funds', 'id': '7-40'}"
/US FEDERAL GOVERNMENT/[budget] Department of Defense--Military Programs (7)/[budget] Operation and Maintenance (7-10),[budget] Operation and Maintenance (7-10),"{'budget_level': 'bureau', 'agency_code': 7, 'agency_name': 'Department of Defense--Military Programs', 'bureau_code': 10, 'bureau_name': 'Operation and Maintenance', '2019': 271699000, '2020': 278865000, '2021': 286184000, '2022': 291269000, '2023': 309958000, '2024': 345718000, 'name': 'Operation and Maintenance', 'id': '7-10'}"
/US FEDERAL GOVERNMENT/[budget] Department of Defense--Military Programs (7)/[budget] Operation and Maintenance (7-10)/[budget] Defense Health Program (7-10-130),[budget] Defense Health Program (7-10-130),"{'budget_level': 'account', 'agency_code': 7, 'agency_name': 'Department of Defense--Military Programs', 'bureau_code': 10, 'bureau_name': 'Operation and Maintenance', 'account_code': 130, 'account_name': 'Defense Health Program', '2019': 33801000, '2020': 34094000, '2021': 34911000, '2022': 35926000, '2023': 39365000, '2024': 38674000, 'name': 'Defense Health Program', 'id': '7-10-130'}"
/US FEDERAL GOVERNMENT/[budget] Department of Defense--Military Programs (7)/[budget] Operation and Maintenance (7-10)/[budget] Office of the Inspector General (7-10-107),[budget] Office of the Inspector General (7-10-107),"{'budget_level': 'account', 'agency_code': 7, 'agency_name': 'Department of Defense--Military Programs', 'bureau_code': 10, 'bureau_name': 'Operation and Maintenance', 'account_code': 107, 'account_name': 'Office of the Inspector General', '2019': 355000, '2020': 386000, '2021': 409000, '2022': 436000, '2023': 415000, '2024': 511000, 'name': 'Office of the Inspector General', 'id': '7-10-107'}"
/US FEDERAL GOVERNMENT/[budget] Office of Special Counsel (436),[budget] Office of Special Counsel (436),"{'budget_level': 'agency', 'agency_code': 436, 'agency_name': 'Office of Special Counsel', '2019': 26000, '2020': 28000, '2021': 29000, '2022': 31000, '2023': 32000, '2024': 33000, 'name': 'Office of Special Counsel', 'id': '436'}"
/US FEDERAL GOVERNMENT/[budget] Office of Special Counsel (436)/[budget] Office of Special Counsel (436-0),[budget] Office of Special Counsel (436-0),"{'budget_level': 'bureau', 'agency_code': 436, 'agency_name': 'Office of Special Counsel', 'bureau_code': 0, 'bureau_name': 'Office of Special Counsel', '2019': 26000, '2020': 28000, '2021': 29000, '2022': 31000, '2023': 32000, '2024': 33000, 'name': 'Office of Special Counsel', 'id': '436-0'}"
/US FEDERAL GOVERNMENT/[budget] United States Holocaust Memorial Museum (456),[budget] United States Holocaust Memorial Museum (456),"{'budget_level': 'agency', 'agency_code': 456, 'agency_name': 'United States Holocaust Memorial Museum', '2019': 53000, '2020': 55000, '2021': 59000, '2022': 63000, '2023': 72000, '2024': 65000, 'name': 'United States Holocaust Memorial Museum', 'id': '456'}"
/US FEDERAL GOVERNMENT/[budget] United States Holocaust Memorial Museum (456)/[budget] United States Holocaust Memorial Museum (456-0),[budget] United States Holocaust Memorial Museum (456-0),"{'budget_level': 'bureau', 'agency_code': 456, 'agency_name': 'United States Holocaust Memorial Museum', 'bureau_code': 0, 'bureau_name': 'United States Holocaust Memorial Museum', '2019': 53000, '2020': 55000, '2021': 59000, '2022': 63000, '2023': 72000, '2024': 65000, 'name': 'United States Holocaust Memorial Museum', 'id': '456-0'}"
/US FEDERAL GOVERNMENT/[budget] Morris K. Udall and Stewart L. Udall Foundation (487),[budget] Morris K. Udall and Stewart L. Udall Foundation (487),"{'budget_level': 'agency', 'agency_code': 487, 'agency_name': 'Morris K. Udall and Stewart L. Udall Foundation', '2019': 6000, '2020': 4000, '2021': 7000, '2022': 6000, '2023': 9000, '2024': 6000, 'name': 'Morris K. Udall and Stewart L. Udall Foundation', 'id': '487'}"
/US FEDERAL GOVERNMENT/[budget] Morris K. Udall and Stewart L. Udall Foundation (487)/[budget] Morris K. Udall and Stewart L. Udall Foundation (487-0),[budget] Morris K. Udall and Stewart L. Udall Foundation (487-0),"{'budget_level': 'bureau', 'agency_code': 487, 'agency_name': 'Morris K. Udall and Stewart L. Udall Foundation', 'bureau_code': 0, 'bureau_name': 'Morris K. Udall and Stewart L. Udall Foundation', '2019': 6000, '2020': 4000, '2021': 7000, '2022': 6000, '2023': 9000, '2024': 6000, 'name': 'Morris K. Udall and Stewart L. Udall Foundation', 'id': '487-0'}"
/US FEDERAL GOVERNMENT/[budget] National Endowment for the Arts (417),[budget] National Endowment for the Arts (417),"{'budget_level': 'agency', 'agency_code': 417, 'agency_name': 'National Endowment for the Arts', '2019': 156000, '2020': 178000, '2021': 185000, '2022': 231000, '2023': 276000, '2024': 225000, 'name': 'National Endowment for the Arts', 'id': '417'}"
/US FEDERAL GOVERNMENT/[budget] National Endowment for the Arts (417)/[budget] National Endowment for the Arts (417-0),[budget] National Endowment for the Arts (417-0),"{'budget_level': 'bureau', 'agency_code': 417, 'agency_name': 'National Endowment for the Arts', 'bureau_code': 0, 'bureau_name': 'National Endowment for the Arts', '2019': 156000, '2020': 178000, '2021': 185000, '2022': 231000, '2023': 276000, '2024': 225000, 'name': 'National Endowment for the Arts', 'id': '417-0'}"
/US FEDERAL GOVERNMENT/[budget] Central Intelligence Agency (316),[budget] Central Intelligence Agency (316),"{'budget_level': 'agency', 'agency_code': 316, 'agency_name': 'Central Intelligence Agency', '2019': 514000, '2020': 514000, '2021': 514000, '2022': 514000, '2023': 514000, '2024': 514000, 'name': 'Central Intelligence Agency', 'id': '316'}"
/US FEDERAL GOVERNMENT/[budget] Central Intelligence Agency (316)/[budget] Central Intelligence Agency (316-0),[budget] Central Intelligence Agency (316-0),"{'budget_level': 'bureau', 'agency_code': 316, 'agency_name': 'Central Intelligence Agency', 'bureau_code': 0, 'bureau_name': 'Central Intelligence Agency', '2019': 514000, '2020': 514000, '2021': 514000, '2022': 514000, '2023': 514000, '2024': 514000, 'name': 'Central Intelligence Agency', 'id': '316-0'}"
/US FEDERAL GOVERNMENT/[budget] Standard Setting Body (527),[budget] Standard Setting Body (527),"{'budget_level': 'agency', 'agency_code': 527, 'agency_name': 'Standard Setting Body', '2019': 29000, '2020': 31000, '2021': 31000, '2022': 41000, '2023': 45000, '2024': 47000, 'name': 'Standard Setting Body', 'id': '527'}"
/US FEDERAL GOVERNMENT/[budget] Standard Setting Body (527)/[budget] Standard Setting Body (527-0),[budget] Standard Setting Body (527-0),"{'budget_level': 'bureau', 'agency_code': 527, 'agency_name': 'Standard Setting Body', 'bureau_code': 0, 'bureau_name': 'Standard Setting Body', '2019': 29000, '2020': 31000, '2021': 31000, '2022': 41000, '2023': 45000, '2024': 47000, 'name': 'Standard Setting Body', 'id': '527-0'}"
/US FEDERAL GOVERNMENT/[budget] Institute of Museum and Library Services (474),[budget] Institute of Museum and Library Services (474),"{'budget_level': 'agency', 'agency_code': 474, 'agency_name': 'Institute of Museum and Library Services', '2019': 228000, '2020': 232000, '2021': 282000, '2022': 358000, '2023': 443000, '2024': 350000, 'name': 'Institute of Museum and Library Services', 'id': '474'}"
/US FEDERAL GOVERNMENT/[budget] Institute of Museum and Library Services (474)/[budget] Institute of Museum and Library Services (474-0),[budget] Institute of Museum and Library Services (474-0),"{'budget_level': 'bureau', 'agency_code': 474, 'agency_name': 'Institute of Museum and Library Services', 'bureau_code': 0, 'bureau_name': 'Institute of Museum and Library Services', '2019': 228000, '2020': 232000, '2021': 282000, '2022': 358000, '2023': 443000, '2024': 350000, 'name': 'Institute of Museum and Library Services', 'id': '474-0'}"
/US FEDERAL GOVERNMENT/[budget] Institute of Museum and Library Services (474)/[budget] Institute of Museum and Library Services (474-0)/[budget] Office of Museum and Library Services: Grants and Administration (474-0-300),[budget] Office of Museum and Library Services: Grants and Administration (474-0-300),"{'budget_level': 'account', 'agency_code': 474, 'agency_name': 'Institute of Museum and Library Services', 'bureau_code': 0, 'bureau_name': 'Institute of Museum and Library Services', 'account_code': 300, 'account_name': 'Office of Museum and Library Services: Grants and Administration', '2019': 228000, '2020': 234000, '2021': 282000, '2022': 358000, '2023': 443000, '2024': 350000, 'name': 'Office of Museum and Library Services: Grants and Administration', 'id': '474-0-300'}"
/US FEDERAL GOVERNMENT/[budget] Alyce Spotted Bear and Walter Soboleff Commission on Native Children (545),[budget] Alyce Spotted Bear and Walter Soboleff Commission on Native Children (545),"{'budget_level': 'agency', 'agency_code': 545, 'agency_name': 'Alyce Spotted Bear and Walter Soboleff Commission on Native Children', '2019': 0, '2020': 0, '2021': 0, '2022': 1000, '2023': 1000, '2024': 1000, 'name': 'Alyce Spotted Bear and Walter Soboleff Commission on Native Children', 'id': '545'}"
/US FEDERAL GOVERNMENT/[budget] Alyce Spotted Bear and Walter Soboleff Commission on Native Children (545)/[budget] Alyce Spotted Bear and Walter Soboleff Com. on Native Children (545-0),[budget] Alyce Spotted Bear and Walter Soboleff Com. on Native Children (545-0),"{'budget_level': 'bureau', 'agency_code': 545, 'agency_name': 'Alyce Spotted Bear and Walter Soboleff Commission on Native Children', 'bureau_code': 0, 'bureau_name': 'Alyce Spotted Bear and Walter Soboleff Com. on Native Children', '2019': 0, '2020': 0, '2021': 0, '2022': 1000, '2023': 1000, '2024': 1000, 'name': 'Alyce Spotted Bear and Walter Soboleff Com. on Native Children', 'id': '545-0'}"
/US FEDERAL GOVERNMENT/[budget] Alyce Spotted Bear and Walter Soboleff Commission on Native Children (545)/[budget] Alyce Spotted Bear and Walter Soboleff Com. on Native Children (545-0)/[budget] Alyce Spotted Bear and Walter Soboleff Commission on Native Children (545-0-2987),[budget] Alyce Spotted Bear and Walter Soboleff Commission on Native Children (545-0-2987),"{'budget_level': 'account', 'agency_code': 545, 'agency_name': 'Alyce Spotted Bear and Walter Soboleff Commission on Native Children', 'bureau_code': 0, 'bureau_name': 'Alyce Spotted Bear and Walter Soboleff Com. on Native Children', 'account_code': 2987, 'account_name': 'Alyce Spotted Bear and Walter Soboleff Commission on Native Children', '2019': 0, '2020': 0, '2021': 0, '2022': 1000, '2023': 1000, '2024': 1000, 'name': 'Alyce Spotted Bear and Walter Soboleff Commission on Native Children', 'id': '545-0-2987'}"
/US FEDERAL GOVERNMENT/[budget] Gulf Coast Ecosystem Restoration Council (586),[budget] Gulf Coast Ecosystem Restoration Council (586),"{'budget_level': 'agency', 'agency_code': 586, 'agency_name': 'Gulf Coast Ecosystem Restoration Council', '2019': -23000, '2020': -97000, '2021': -47000, '2022': -35000, '2023': 203000, '2024': 103000, 'name': 'Gulf Coast Ecosystem Restoration Council', 'id': '586'}"
/US FEDERAL GOVERNMENT/[budget] Gulf Coast Ecosystem Restoration Council (586)/[budget] Gulf Coast Ecosystem Restoration Council (586-0),[budget] Gulf Coast Ecosystem Restoration Council (586-0),"{'budget_level': 'bureau', 'agency_code': 586, 'agency_name': 'Gulf Coast Ecosystem Restoration Council', 'bureau_code': 0, 'bureau_name': 'Gulf Coast Ecosystem Restoration Council', '2019': -23000, '2020': -97000, '2021': -47000, '2022': -35000, '2023': 203000, '2024': 103000, 'name': 'Gulf Coast Ecosystem Restoration Council', 'id': '586-0'}"
/US FEDERAL GOVERNMENT/[budget] Chemical Safety and Hazard Investigation Board (510),[budget] Chemical Safety and Hazard Investigation Board (510),"{'budget_level': 'agency', 'agency_code': 510, 'agency_name': 'Chemical Safety and Hazard Investigation Board', '2019': 10000, '2020': 11000, '2021': 10000, '2022': 12000, '2023': 12000, '2024': 19000, 'name': 'Chemical Safety and Hazard Investigation Board', 'id': '510'}"
/US FEDERAL GOVERNMENT/[budget] Chemical Safety and Hazard Investigation Board (510)/[budget] Chemical Safety and Hazard Investigation Board (510-0),[budget] Chemical Safety and Hazard Investigation Board (510-0),"{'budget_level': 'bureau', 'agency_code': 510, 'agency_name': 'Chemical Safety and Hazard Investigation Board', 'bureau_code': 0, 'bureau_name': 'Chemical Safety and Hazard Investigation Board', '2019': 10000, '2020': 11000, '2021': 10000, '2022': 12000, '2023': 12000, '2024': 19000, 'name': 'Chemical Safety and Hazard Investigation Board', 'id': '510-0'}"
/US FEDERAL GOVERNMENT/[budget] Federal Communications Commission (356),[budget] Federal Communications Commission (356),"{'budget_level': 'agency', 'agency_code': 356, 'agency_name': 'Federal Communications Commission', '2019': 10527000, '2020': 10243000, '2021': 11117000, '2022': 15196000, '2023': 20117000, '2024': 19623000, 'name': 'Federal Communications Commission', 'id': '356'}"
/US FEDERAL GOVERNMENT/[budget] Federal Communications Commission (356)/[budget] Federal Communications Commission (356-0),[budget] Federal Communications Commission (356-0),"{'budget_level': 'bureau', 'agency_code': 356, 'agency_name': 'Federal Communications Commission', 'bureau_code': 0, 'bureau_name': 'Federal Communications Commission', '2019': 10527000, '2020': 10243000, '2021': 11117000, '2022': 15196000, '2023': 20117000, '2024': 19623000, 'name': 'Federal Communications Commission', 'id': '356-0'}"
/US FEDERAL GOVERNMENT/[budget] Federal Communications Commission (356)/[budget] Federal Communications Commission (356-0)/[budget] Secure and Trusted Communications Networks Act Reimbursement Program (356-0-1912),[budget] Secure and Trusted Communications Networks Act Reimbursement Program (356-0-1912),"{'budget_level': 'account', 'agency_code': 356, 'agency_name': 'Federal Communications Commission', 'bureau_code': 0, 'bureau_name': 'Federal Communications Commission', 'account_code': 1912, 'account_name': 'Secure and Trusted Communications Networks Act Reimbursement Program', '2019': 0, '2020': 0, '2021': 2000, '2022': 7000, '2023': 940000, '2024': 480000, 'name': 'Secure and Trusted Communications Networks Act Reimbursement Program', 'id': '356-0-1912'}"
"/US FEDERAL GOVERNMENT/[budget] Federal Communications Commission (356)/[budget] Federal Communications Commission (356-0)/[budget] Telecommunications Relay Services Fund, Federal Communications Commission (356-0-5700)","[budget] Telecommunications Relay Services Fund, Federal Communications Commission (356-0-5700)","{'budget_level': 'account', 'agency_code': 356, 'agency_name': 'Federal Communications Commission', 'bureau_code': 0, 'bureau_name': 'Federal Communications Commission', 'account_code': 5700, 'account_name': 'Telecommunications Relay Services Fund, Federal Communications Commission', '2019': 0, '2020': 1424000, '2021': 1444000, '2022': 1222000, '2023': 1314000, '2024': 1323000, 'name': 'Telecommunications Relay Services Fund, Federal Communications Commission', 'id': '356-0-5700'}"
/US FEDERAL GOVERNMENT/[budget] Corporation for National and Community Service (485),[budget] Corporation for National and Community Service (485),"{'budget_level': 'agency', 'agency_code': 485, 'agency_name': 'Corporation for National and Community Service', '2019': 972000, '2020': 930000, '2021': 955000, '2022': 869000, '2023': 2097000, '2024': 1289000, 'name': 'Corporation for National and Community Service', 'id': '485'}"
/US FEDERAL GOVERNMENT/[budget] Corporation for National and Community Service (485)/[budget] Corporation for National and Community Service (485-0),[budget] Corporation for National and Community Service (485-0),"{'budget_level': 'bureau', 'agency_code': 485, 'agency_name': 'Corporation for National and Community Service', 'bureau_code': 0, 'bureau_name': 'Corporation for National and Community Service', '2019': 972000, '2020': 930000, '2021': 955000, '2022': 869000, '2023': 2097000, '2024': 1289000, 'name': 'Corporation for National and Community Service', 'id': '485-0'}"
/US FEDERAL GOVERNMENT/[budget] Corporation for National and Community Service (485)/[budget] Corporation for National and Community Service (485-0)/[budget] Office of Inspector General (485-0-2721),[budget] Office of Inspector General (485-0-2721),"{'budget_level': 'account', 'agency_code': 485, 'agency_name': 'Corporation for National and Community Service', 'bureau_code': 0, 'bureau_name': 'Corporation for National and Community Service', 'account_code': 2721, 'account_name': 'Office of Inspector General', '2019': 5000, '2020': 6000, '2021': 5000, '2022': 7000, '2023': 7000, '2024': 8000, 'name': 'Office of Inspector General', 'id': '485-0-2721'}"
/US FEDERAL GOVERNMENT/[budget] Federal Permitting Improvement Steering Council (473),[budget] Federal Permitting Improvement Steering Council (473),"{'budget_level': 'agency', 'agency_code': 473, 'agency_name': 'Federal Permitting Improvement Steering Council', '2019': 0, '2020': 4000, '2021': 8000, '2022': 6000, '2023': 25000, '2024': 36000, 'name': 'Federal Permitting Improvement Steering Council', 'id': '473'}"
/US FEDERAL GOVERNMENT/[budget] Federal Permitting Improvement Steering Council (473)/[budget] Federal Permitting Improvement Council (473-0),[budget] Federal Permitting Improvement Council (473-0),"{'budget_level': 'bureau', 'agency_code': 473, 'agency_name': 'Federal Permitting Improvement Steering Council', 'bureau_code': 0, 'bureau_name': 'Federal Permitting Improvement Council', '2019': 0, '2020': 4000, '2021': 8000, '2022': 6000, '2023': 25000, '2024': 36000, 'name': 'Federal Permitting Improvement Council', 'id': '473-0'}"
/US FEDERAL GOVERNMENT/[budget] National Transportation Safety Board (424),[budget] National Transportation Safety Board (424),"{'budget_level': 'agency', 'agency_code': 424, 'agency_name': 'National Transportation Safety Board', '2019': 105000, '2020': 111000, '2021': 111000, '2022': 122000, '2023': 129000, '2024': 145000, 'name': 'National Transportation Safety Board', 'id': '424'}"
/US FEDERAL GOVERNMENT/[budget] National Transportation Safety Board (424)/[budget] National Transportation Safety Board (424-0),[budget] National Transportation Safety Board (424-0),"{'budget_level': 'bureau', 'agency_code': 424, 'agency_name': 'National Transportation Safety Board', 'bureau_code': 0, 'bureau_name': 'National Transportation Safety Board', '2019': 105000, '2020': 111000, '2021': 111000, '2022': 122000, '2023': 129000, '2024': 145000, 'name': 'National Transportation Safety Board', 'id': '424-0'}"
/US FEDERAL GOVERNMENT/[budget] 400 Years of African-American History Commission (247),[budget] 400 Years of African-American History Commission (247),"{'budget_level': 'agency', 'agency_code': 247, 'agency_name': '400 Years of African-American History Commission', '2019': 0, '2020': 1000, '2021': 2000, '2022': 2000, '2023': 3000, '2024': 3000, 'name': '400 Years of African-American History Commission', 'id': '247'}"
/US FEDERAL GOVERNMENT/[budget] 400 Years of African-American History Commission (247)/[budget] 400 Years of African-American History Commission (247-0),[budget] 400 Years of African-American History Commission (247-0),"{'budget_level': 'bureau', 'agency_code': 247, 'agency_name': '400 Years of African-American History Commission', 'bureau_code': 0, 'bureau_name': '400 Years of African-American History Commission', '2019': 0, '2020': 1000, '2021': 2000, '2022': 2000, '2023': 3000, '2024': 3000, 'name': '400 Years of African-American History Commission', 'id': '247-0'}"
/US FEDERAL GOVERNMENT/[budget] U.S. Agency for Global Media (514),[budget] U.S. Agency for Global Media (514),"{'budget_level': 'agency', 'agency_code': 514, 'agency_name': 'U.S. Agency for Global Media', '2019': 813000, '2020': 797000, '2021': 797000, '2022': 850000, '2023': 882000, '2024': 909000, 'name': 'U.S. Agency for Global Media', 'id': '514'}"
/US FEDERAL GOVERNMENT/[budget] U.S. Agency for Global Media (514)/[budget] U.S. Agency for Global Media (514-0),[budget] U.S. Agency for Global Media (514-0),"{'budget_level': 'bureau', 'agency_code': 514, 'agency_name': 'U.S. Agency for Global Media', 'bureau_code': 0, 'bureau_name': 'U.S. Agency for Global Media', '2019': 813000, '2020': 797000, '2021': 797000, '2022': 850000, '2023': 882000, '2024': 909000, 'name': 'U.S. Agency for Global Media', 'id': '514-0'}"
/US FEDERAL GOVERNMENT/[budget] Privacy and Civil Liberties Oversight Board (535),[budget] Privacy and Civil Liberties Oversight Board (535),"{'budget_level': 'agency', 'agency_code': 535, 'agency_name': 'Privacy and Civil Liberties Oversight Board', '2019': 7000, '2020': 10000, '2021': 9000, '2022': 11000, '2023': 11000, '2024': 12000, 'name': 'Privacy and Civil Liberties Oversight Board', 'id': '535'}"
/US FEDERAL GOVERNMENT/[budget] Privacy and Civil Liberties Oversight Board (535)/[budget] Privacy and Civil Liberties Oversight Board (535-0),[budget] Privacy and Civil Liberties Oversight Board (535-0),"{'budget_level': 'bureau', 'agency_code': 535, 'agency_name': 'Privacy and Civil Liberties Oversight Board', 'bureau_code': 0, 'bureau_name': 'Privacy and Civil Liberties Oversight Board', '2019': 7000, '2020': 10000, '2021': 9000, '2022': 11000, '2023': 11000, '2024': 12000, 'name': 'Privacy and Civil Liberties Oversight Board', 'id': '535-0'}"
/US FEDERAL GOVERNMENT/[budget] Appalachian Regional Commission (309),[budget] Appalachian Regional Commission (309),"{'budget_level': 'agency', 'agency_code': 309, 'agency_name': 'Appalachian Regional Commission', '2019': 108000, '2020': 142000, '2021': 124000, '2022': 129000, '2023': 249000, '2024': 336000, 'name': 'Appalachian Regional Commission', 'id': '309'}"
/US FEDERAL GOVERNMENT/[budget] Appalachian Regional Commission (309)/[budget] Appalachian Regional Commission (309-0),[budget] Appalachian Regional Commission (309-0),"{'budget_level': 'bureau', 'agency_code': 309, 'agency_name': 'Appalachian Regional Commission', 'bureau_code': 0, 'bureau_name': 'Appalachian Regional Commission', '2019': 108000, '2020': 142000, '2021': 124000, '2022': 129000, '2023': 249000, '2024': 336000, 'name': 'Appalachian Regional Commission', 'id': '309-0'}"
/US FEDERAL GOVERNMENT/[budget] Delta Regional Authority (517),[budget] Delta Regional Authority (517),"{'budget_level': 'agency', 'agency_code': 517, 'agency_name': 'Delta Regional Authority', '2019': 21000, '2020': 20000, '2021': 24000, '2022': 19000, '2023': 47000, '2024': 59000, 'name': 'Delta Regional Authority', 'id': '517'}"
/US FEDERAL GOVERNMENT/[budget] Delta Regional Authority (517)/[budget] Delta Regional Authority (517-0),[budget] Delta Regional Authority (517-0),"{'budget_level': 'bureau', 'agency_code': 517, 'agency_name': 'Delta Regional Authority', 'bureau_code': 0, 'bureau_name': 'Delta Regional Authority', '2019': 21000, '2020': 20000, '2021': 24000, '2022': 19000, '2023': 47000, '2024': 59000, 'name': 'Delta Regional Authority', 'id': '517-0'}"
/US FEDERAL GOVERNMENT/[budget] Commission of Fine Arts (323),[budget] Commission of Fine Arts (323),"{'budget_level': 'agency', 'agency_code': 323, 'agency_name': 'Commission of Fine Arts', '2019': 7000, '2020': 8000, '2021': 8000, '2022': 8000, '2023': 9000, '2024': 9000, 'name': 'Commission of Fine Arts', 'id': '323'}"
/US FEDERAL GOVERNMENT/[budget] Commission of Fine Arts (323)/[budget] Commission of Fine Arts (323-0),[budget] Commission of Fine Arts (323-0),"{'budget_level': 'bureau', 'agency_code': 323, 'agency_name': 'Commission of Fine Arts', 'bureau_code': 0, 'bureau_name': 'Commission of Fine Arts', '2019': 7000, '2020': 8000, '2021': 8000, '2022': 8000, '2023': 9000, '2024': 9000, 'name': 'Commission of Fine Arts', 'id': '323-0'}"
/US FEDERAL GOVERNMENT/[budget] Securities and Exchange Commission (449),[budget] Securities and Exchange Commission (449),"{'budget_level': 'agency', 'agency_code': 449, 'agency_name': 'Securities and Exchange Commission', '2019': 369000, '2020': -533000, '2021': 495000, '2022': 775000, '2023': 736000, '2024': 377000, 'name': 'Securities and Exchange Commission', 'id': '449'}"
