cisagov_city,cisagov_domain_name,cisagov_domain_type,cisagov_match_threshold,cisagov_name,cisagov_parent,cisagov_security_contact_email,cisagov_state,opmgov_employment,opmgov_match_threshold,opmgov_name,opmgov_parent,opmgov_type,usagov_acronym,usagov_contact_0_link,usagov_contact_0_title,usagov_contact_1_link,usagov_contact_1_title,usagov_contact_2_link,usagov_contact_2_title,usagov_contact_3_link,usagov_contact_3_title,usagov_contact_4_link,usagov_contact_4_title,usagov_contact_5_link,usagov_contact_5_title,usagov_contact_6_link,usagov_contact_6_title,usagov_contact_7_link,usagov_contact_7_title,usagov_contact_8_link,usagov_contact_8_title,usagov_description,usagov_email_link,usagov_email_title,usagov_forms_link,usagov_forms_title,usagov_government_branch,usagov_local_offices_0_link,usagov_local_offices_0_title,usagov_local_offices_10_link,usagov_local_offices_10_title,usagov_local_offices_11_link,usagov_local_offices_11_title,usagov_local_offices_12_link,usagov_local_offices_12_title,usagov_local_offices_13_link,usagov_local_offices_13_title,usagov_local_offices_14_link,usagov_local_offices_14_title,usagov_local_offices_15_link,usagov_local_offices_15_title,usagov_local_offices_16_link,usagov_local_offices_16_title,usagov_local_offices_17_link,usagov_local_offices_17_title,usagov_local_offices_1_link,usagov_local_offices_1_title,usagov_local_offices_2_link,usagov_local_offices_2_title,usagov_local_offices_3_link,usagov_local_offices_3_title,usagov_local_offices_4_link,usagov_local_offices_4_title,usagov_local_offices_5_link,usagov_local_offices_5_title,usagov_local_offices_6_link,usagov_local_offices_6_title,usagov_local_offices_7_link,usagov_local_offices_7_title,usagov_local_offices_8_link,usagov_local_offices_8_title,usagov_local_offices_9_link,usagov_local_offices_9_title,usagov_main_address,usagov_name,usagov_parent,usagov_phone_number_0,usagov_phone_number_1,usagov_phone_number_2,usagov_sms_0,usagov_sms_1,usagov_toll_free_0,usagov_toll_free_1,usagov_toll_free_2,usagov_toll_free_3,usagov_tty_0,usagov_tty_1,usagov_tty_2,usagov_website_0_link,usagov_website_0_title,usagov_website_1_link,usagov_website_1_title,usagov_website_2_link,usagov_website_2_title,usagov_website_3_link,usagov_website_3_title,usagov_website_4_link,usagov_website_4_title
,,,,,,,,,,,,,,https://www.fanniemae.com/portal/about-fm/contact-us.html,Contact the Federal National Mortgage Association (Fannie Mae) Contact Fannie Mae,,,,,,,,,,,,,,,,,Fannie Mae purchases mortgages from lending institutions in an effort to increase affordable lending activity at those institutions. Fannie Mae is not a federal agency. It is a government-sponsored enterprise under the conservatorship of the Federal Housing Finance Agency (FHFA).,,,,,Quasi-official,https://www.knowyouroptions.com/get-help-overview/fannie-mae-mortgage-help-network,Find A Local Fannie Mae Mortgage Help Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1100 15th Street, NW",Fannie Mae,Federal Housing Finance Agency,,,,,,1-800-2FANNIE,,,,,,,https://www.fanniemae.com/,Federal National Mortgage Association (Fannie Mae),,,,,,,,
,,,,,,,,121,88,ASSISTANT SECRETARY FOR FAIR HOUSING AND EQUAL OPPORTUNITY,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,FHEO,https://www.hud.gov/program_offices/fair_housing_equal_opp/contact,Contact Fair Housing and Equal Opportunity,https://www.hud.gov/program_offices/fair_housing_equal_opp/online-complaint,File a Housing Discrimination Complaint,,,,,,,,,,,,,,,The Office of Fair Housing and Equal Opportunity enforces federal laws and establishes policies to ensure that all Americans have equal access to the housing of their choice.,,,https://www.hud.gov/program_offices/administration/hudclips/forms,Fair Housing and Equal Opportunity Forms,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"451 7th St., SW",Fair Housing and Equal Opportunity (FHEO),U.S. Department of Housing and Urban Development,1-202-708-1112,,,,,,,,,1-202-708-1455,,,https://www.hud.gov/program_offices/fair_housing_equal_opp,Fair Housing and Equal Opportunity,,,,,,,,
Lakewood,FWS.GOV,Federal - Executive,97,U.S. Fish and Wildlife Service,Department of the Interior,soc@fws.gov,CO,9526,97,U.S. FISH AND WILDLIFE SERVICE,DEPARTMENT OF THE INTERIOR,Cabinet Level Agencies,FWS,https://www.fws.gov/contact-us,Contact the Fish and Wildlife Service,http://www.fws.gov/offices/,Fish and Wildlife Service Office Directory,,,,,,,,,,,,,,,"The Fish and Wildlife Service works to conserve, protect and enhance fish, wildlife and plants and their habitats.",,,https://www.fws.gov/library/collections/forms,Fish and Wildlife Service Permit Application Forms,Executive Department Sub-Office/Agency/Bureau,https://www.fws.gov/our-facilities,Regional Contacts and State Field Offices,,,,,,,,,,,,,,,,,https://www.fws.gov/refuges/find-a-wildlife-refuge/,National Wildlife Refuge Locator,,,,,,,,,,,,,,,,,"1849 C St., NW",Fish and Wildlife Service (FWS),U.S. Department of the Interior,1-202-208-5634,,,,,1-800-344-9453,,,,,,,https://www.fws.gov/,Fish and Wildlife Service (FWS),,,,,,,,
,,,,,,,,,,,,,USFA,https://www.usfa.fema.gov/contact.html,Contact the U.S. Fire Administration,,,,,,,,,,,,,,,,,The,,,,,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16825 South Seton Ave.,Fire Administration (USFA),Federal Emergency Management Agency,301-447-1117,,,,,1-800-238-3358,,,,,,,https://www.usfa.fema.gov/,U.S. Fire Administration,,,,,,,,
Alexandria,FVAP.GOV,Federal - Executive,96,Federal Voting Assistance Program,Department of Defense,(blank),VA,,,,,,,https://www.fvap.gov/info/contact,Contact the Federal Voting Assistance Program,,,,,,,,,,,,,,,,,The Federal Voting Assistance Program helps uniformed services and overseas voters exercise their right to vote.,mailto:vote@fvap.gov,,https://www.fvap.gov/eo/overview/materials/forms,Federal Voting Assistance Program Forms,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4800 Mark Center Dr.,Federal Voting Assistance Program,U.S. Department of Defense,1-800-438-VOTE,,,,,,,,,,,,https://www.fvap.gov/,Federal Voting Assistance Program,,,,,,,,
,,,,,,,,551,94,FEDERAL TRANSIT ADMINISTRATION,DEPARTMENT OF TRANSPORTATION,Cabinet Level Agencies,FTA,https://www.transit.dot.gov/about/contact/contact-us,Contact the Federal Transit Administration,,,,,,,,,,,,,,,,,"The Federal Transit Administration seeks to improve public transportation by assisting state and local governments with planning, implementation, and financing public transportation projects.",,,https://www.transit.dot.gov/about/fta-library-forms-accessibility,Federal Transit Administration Forms,Executive Department Sub-Office/Agency/Bureau,https://www.transit.dot.gov/about/regional-offices/regional-offices,Contact Your Local Federal Transit Administration Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal Transit Administration (FTA),U.S. Department of Transportation,1-202-366-4043,,,,,1-866-377-8642,,,,1-800-877-8339,,,https://www.transit.dot.gov/,Federal Transit Administration (FTA),,,,,,,,
,,,,,,,,1121,92,FEDERAL TRADE COMMISSION,FEDERAL TRADE COMMISSION,Large Independent Agencies (1000 or more employees),FTC,https://www.ftc.gov/about-ftc/contact,Contact the Federal Trade Commission,,,,,,,,,,,,,,,,,"The Federal Trade Commission works to prevent fraudulent, deceptive, and unfair business practices. They also provide information to help consumers spot, stop, and avoid scams and fraud.",,,,,Independent Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"600 Pennsylvania Ave., NW",Federal Trade Commission (FTC),,1-202-326-2222,,,,,1-877-FTC-HELP,,,,1-866-653-4261,,,https://www.ftc.gov/,Federal Trade Commission (FTC),https://www.consumer.ftc.gov/Admongo/lesson-plans.html,Advertising Literacy for Kids,https://consumer.ftc.gov/features/onguardonline,Online Security Tips,https://consumer.ftc.gov/,Consumer Information,,
,,,,,,,,,,,,,,https://studentaid.gov/help-center/contact,Contact the Federal Student Aid Information Center,,,,,,,,,,,,,,,,,"Federal Student Aid provides more than $125 billion in federal grants, work-study, and loans for students attending career schools, community colleges, and colleges or universities.",mailto:customerservice@studentaid.gov,,https://fafsa.gov/,Free Application for Student Aid Form (FAFSA),Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PO Box 1854,Federal Student Aid Information Center ,U.S. Department of Education,,,,,,1-800-433-3243,1-800-621-3115,1-800-557-7392,,1-800-730-8913,1-877-825-9923,1-800-557-7395,https://studentaid.gov/,Federal Student Aid,,,,,,,,
,,,,,,,,85,100,FEDERAL RETIREMENT THRIFT INVESTMENT BOARD,FEDERAL RETIREMENT THRIFT INVESTMENT BOARD,Small Independent Agencies (less than 100 employees),,https://www.frtib.gov/contacts/,Contact the Federal Retirement Thrift Investment Board,,,,,,,,,,,,,,,,,"The Federal Retirement Thrift Investment Board administers the Thrift Savings Plan, a tax-deferred retirement account similar to a 401(k).",,,,,Independent Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thrift Savings Plan,Federal Retirement Thrift Investment Board,,1-404-233-4400,,,,,1-877-968-3778,,,,1-877-847-4385,,,https://www.frtib.gov/,Federal Retirement Thrift Investment Board,,,,,,,,
,,,,,,,,,,,,,,https://www.federalreserve.gov/apps/ContactUs/feedback.aspx?refUrl=/aboutthefed/contact-us-topics/other.htm,Contact the Federal Reserve System,https://forms.federalreserveconsumerhelp.gov/secure/complaint/complaintType,File a Complaint About a Bank,https://www.federalreserve.gov/apps/foia/proposedregs.aspx,Comment on Federal Reserve Proposals,,,,,,,,,,,,,The Federal Reserve is the central bank of the United States. It formulates and administers credit and monetary policy.,,,https://www.federalreserve.gov/apps/reportforms/default.aspx,Federal Reserve System Reporting Forms,Independent Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20th St. and Constitution Ave., NW",Federal Reserve System,,1-202-452-3000,,,,,1-888-851-1920,,,,1-877-766-8533,,,https://www.federalreserve.gov/,Federal Reserve System,,,,,,,,
College Park,GEORGEWBUSHLIBRARY.GOV,Federal - Executive,85,NARA,National Archives and Records Administration,security-vpd@nara.gov,MD,,,,,,,https://www.archives.gov/federal-register/contact.html,Contact the Office of the Federal Register,,,,,,,,,,,,,,,,,"The Office of the Federal Register oversees the Federal Register publication system, making available the full text of federal laws and regulations, presidential documents, and other federal program information.",mailto:fedreg.info@nara.gov,,,,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8601 Adelphi Rd.,Federal Register,National Archives and Records Administration,1-202-741‐6000,,,,,,,,,1-202-741-6086,,,https://www.archives.gov/federal-register,Office of the Federal Register,,,,,,,,
,,,,,,,,840,94,FEDERAL RAILROAD ADMINISTRATION,DEPARTMENT OF TRANSPORTATION,Cabinet Level Agencies,FRA,http://www.fra.dot.gov/Page/P0006,Contact the Federal Railroad Administration,http://www.fra.dot.gov/Page/P0244,Federal Railroad Administration Regional Offices,,,,,,,,,,,,,,,"The Federal Railroad Administration creates and enforces rail safety regulations, administers rail funding, and researches rail improvement strategies and technologies.",,,https://safetydata.fra.dot.gov/OfficeofSafety/publicsite/forms.aspx?itemno=9.02,Federal Railroad Administration Safety Forms,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1200 New Jersey Ave., SE",Federal Railroad Administration (FRA),U.S. Department of Transportation,1-202-366-4000,,,,,,,,,,,,http://www.fra.dot.gov/,Federal Railroad Administration (FRA),,,,,,,,
,,,,,,,,,,,,,,https://www.dhs.gov/contact-us,Contact the Federal Protective Service,,,,,,,,,,,,,,,,,The Federal Protective Service is a federal law enforcement agency that provides security and law enforcement services to federally owned and leased buildings.,,,,,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal Protective Service,U.S. Department of Homeland Security,1-202-282-8000,,,,,,,,,1-202-282-8000,,,https://www.dhs.gov/topic/federal-protective-service,Federal Protective Service,,,,,,,,
Washington,SHARETHEROADSAFELY.GOV,Federal - Executive,94,Federal Motor Carrier Safety Administration,Department of Transportation,DOT-Cyber-Reporting@dot.gov,DC,1064,94,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,DEPARTMENT OF TRANSPORTATION,Cabinet Level Agencies,FMCSA,https://www.fmcsa.dot.gov/contact-us,Contact the Federal Motor Carrier Safety Administration,https://nccdb.fmcsa.dot.gov/nccdb/home.aspx,Federal Motor Carrier Safety Administration Consumer Complaint Database,,,,,,,,,,,,,,,The Federal Motor Carrier Safety Administration works to prevent deaths and injuries related to commercial motor vehicles. You can file a complaint with the Federal Motor Carrier Safety Administration if you have trouble with a mover.,,,https://www.fmcsa.dot.gov/registration/forms,Federal Motor Carrier Safety Administration Forms,Executive Department Sub-Office/Agency/Bureau,https://www.fmcsa.dot.gov/mission/field-offices,Field Offices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1200 New Jersey Ave., SE",Federal Motor Carrier Safety Administration (FMCSA),U.S. Department of Transportation,,,,,,1-800-832-5660,1-888-368-7238,,,1-800-877-8339,1-207-255-3398,,https://www.fmcsa.dot.gov/,Federal Motor Carrier Safety Administration,https://www.fmcsa.dot.gov/protect-your-move,Protect Your Move,,,,,,
,,,,,,,,45,100,FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION,FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION,Small Independent Agencies (less than 100 employees),,http://www.fmshrc.gov/contact,Contact the Federal Mine Safety and Health Review Commission,,,,,,,,,,,,,,,,,The Federal Mine Safety and Health Review Commission is an independent agency that administers trials and hears appeals of disputes relating directly to the Mine Safety and Health Act of 1977.,mailto:fmshrc@fmshrc.gov,,,,Independent Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1331 Pennsylvania Ave., NW",Federal Mine Safety and Health Review Commission,,1-202-434-9900,,,,,,,,,,,,http://www.fmshrc.gov/,Federal Mine Safety and Health Review Commission,,,,,,,,
Washington,FMCS.GOV,Federal - Executive,94,FMCS,Federal Mediation and Conciliation Service,security@fmcs.gov,DC,251,100,FEDERAL MEDIATION AND CONCILIATION SERVICE,FEDERAL MEDIATION AND CONCILIATION SERVICE,Medium Independent Agencies (100-999 employees),,http://www.fmcs.gov/internet/categoryList.asp?categoryID=63,Contact the Federal Mediation and Conciliation Service,http://www.fmcs.gov/internet/itemDetail.asp?categoryID=82&itemID=16282,Field Offices,,,,,,,,,,,,,,,The Federal Mediation and Conciliation Service provides mediation and other conflict resolution services for managing and enhancing labor-management relationships.,,,https://www.fmcs.gov/resources/forms-applications/,Federal Mediation and Conciliation Service Forms,Independent Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"250 E St., SW",Federal Mediation and Conciliation Service,,1-202-606-8100,,,,,,,,,,,,http://www.fmcs.gov/,Federal Mediation and Conciliation Service,,,,,,,,
Washington,FMC.GOV,Federal - Executive,100,Federal Maritime Commission,Federal Maritime Commission,oit-maritime@fmc.gov,DC,125,100,FEDERAL MARITIME COMMISSION,FEDERAL MARITIME COMMISSION,Medium Independent Agencies (100-999 employees),,https://www.fmc.gov/contact,Contact the Federal Maritime Commission,https://www.fmc.gov/about-the-fmc/bureaus-offices/,Bureaus and Offices,,,,,,,,,,,,,,,"The Federal Maritime Commission is responsible for regulating the U.S. international ocean transportation system for the benefit of U.S. exporters, importers, and the U.S. consumer.",mailto:Complaints@fmc.gov,,,,Independent Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"800 North Capitol St., NW",Federal Maritime Commission,,1-202-523-5725,,,,,,,,,,,,https://www.fmc.gov/,Federal Maritime Commission,,,,,,,,
,,,,,,,,,,,,,,https://www.loc.gov/flicc/Staff/staff2.html,Contact the Federal Library and Information Center Committee,,,,,,,,,,,,,,,,,The Federal Library and Information Center Committee coordinates and shares available resources to provide continuing education and training to federal library and information center employees.,,,,,"Independent Board, Commission, Committee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"101 Independence Ave., SE",Federal Library and Information Center Committee,,1-202-707-4800,,,,,,,,,,,,https://www.loc.gov/flicc/,Federal Library and Information Center Committee,,,,,,,,
Glynco,FLETC.GOV,Federal - Executive,93,Federal Law Enforcement Training Center,Department of Homeland Security,FLETCCSIRC@fletc.dhs.gov,GA,1197,93,FEDERAL LAW ENFORCEMENT TRAINING CENTER,DEPARTMENT OF HOMELAND SECURITY,Cabinet Level Agencies,FLETC,https://www.fletc.gov/webform/contact-us,Contact the Federal Law Enforcement Training Center,,,,,,,,,,,,,,,,,"The Federal Law Enforcement Training Center provides law enforcement training for 91 federal agencies, several state, local, and tribal agencies, and oversees or assists with training at several International Law Enforcement Academies.",,,https://www.fletc.gov/medical-records,Federal Law Enforcement Training Center Forms,Executive Department Sub-Office/Agency/Bureau,https://www.fletc.gov/landing-page/locations,Training Center Locations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1131 Chapel Crossing Rd.,Federal Law Enforcement Training Center (FLETC),U.S. Department of Homeland Security,1-912-267-2100,,,,,,,,,,,,https://www.fletc.gov/,Federal Law Enforcement Training Center,,,,,,,,
,,,,,,,,,,,,,,https://federallabs.org/webforms/contact,Contact the Federal Laboratory Consortium for Technology Transfer,,,,,,,,,,,,,,,,,"The Federal Laboratory Consortium for Technology Transfer facilitates knowledge and technology sharing across federal laboratories, and speeds the adoption of new knowledge and technologies in the wider economy by facilitating the sharing federal research with non-governmental public and private entities.",mailto:support@federallabs.org,,,,"Independent Board, Commission, Committee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FLC Management Support Office,Federal Laboratory Consortium for Technology Transfer,,1-856-667-7727,,,,,,,,,,,,https://federallabs.org/,Federal Laboratory Consortium for Technology Transfer,,,,,,,,
Washington,FLRA.GOV,Federal - Executive,100,FLRA,Federal Labor Relations Authority,itsec@flra.gov,DC,134,93,FEDERAL LABOR RELATIONS AUTHORITY,FEDERAL LABOR RELATIONS AUTHORITY,Medium Independent Agencies (100-999 employees),FLRA,http://www.flra.gov/contact,Contact the Federal Labor Relations Authority,,,,,,,,,,,,,,,,,The Federal Labor Relations Authority is a quasi-judicial body that manages relations between federal agencies and employees.,,,https://www.flra.gov/resources-training/resources/forms-checklists,Federal Labor Relations Authority Forms,Independent Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1400 K St., NW",Federal Labor Relations Authority (FLRA),,,,,,,,,,,,,,http://www.flra.gov,Federal Labor Relations Authority,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Federal Judicial Center conducts policy research and provides continuing education resources for the judicial branch.,,,,,Judicial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thurgood Marshall Federal Judiciary Building,Federal Judicial Center,,1-202-502-4000,,,,,,,,,,,,https://www.fjc.gov/,Federal Judicial Center,,,,,,,,
,,,,,,,,,,,,,,https://nces.ed.gov/FCSM/contact_us.asp,Contact the Federal Interagency Council on Statistical Policy (FedStats),,,,,,,,,,,,,,,,,FedStats is a community of practice for over 100 agencies that produce and distribute official federal statistics.,,,,,"Independent Board, Commission, Committee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal Interagency Council on Statistical Policy,,,,,,,,,,,,,,,,,,,,,,,
Washington,MORTGAGETRANSLATIONS.GOV,Federal - Executive,100,Federal Housing Finance Agency,Federal Housing Finance Agency,domainsecurity@fhfa.gov,DC,433,100,FEDERAL HOUSING FINANCE AGENCY,FEDERAL HOUSING FINANCE AGENCY,Medium Independent Agencies (100-999 employees),,https://www.fhfa.gov/AboutUs/Contact,Contact the Federal Housing Finance Agency,,,,,,,,,,,,,,,,,"The Federal Housing Finance Agency provides supervision, regulation, and housing mission oversight of Fannie Mae, Freddie Mac, and the Federal Home Loan Banks.",mailto:FHFAinfo@FHFA.gov,,,,Independent Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"400 7th St., SW",Federal Housing Finance Agency,,1-202-649-3800,,,,,,,,,,,,https://www.fhfa.gov/,Federal Housing Finance Agency,,,,,,,,
,,,,,,,,,,,,,FHA,https://www.hud.gov/program_offices/housing/sfh/fharesourcectr,Contact the Federal Housing Administration,,,,,,,,,,,,,,,,,"The Federal Housing Administration (FHA) provides mortgage insurance on single-family, multifamily, manufactured home, and hospital loans made by FHA-approved lenders throughout the United States and its territories.",mailto:info@fhaoutreach.com,,https://www.hud.gov/program_offices/administration/hudclips/forms,Federal Housing Administration Forms,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"451 7th St., SW",Federal Housing Administration (FHA),Office of Housing,,,,,,1-800-CALL-FHA,,,,1-877-TDD-2HUD,,,https://www.hud.gov/federal_housing_administration,Federal Housing Administration (FHA),,,,,,,,
,,,,,,,,,,,,,,http://www.freddiemac.com/about/contact-us.html,Contact the Federal Home Loan Mortgage Corporation (Freddie Mac),,,,,,,,,,,,,,,,,"A private corporation founded by Congress, the Federal Home Loan Mortgage corporation's mission is to promote stability and affordability in the housing market by purchasing mortgages from banks and other loan makers. The corporation is currently under conservatorship, under the direction of the Federal Housing Finance Agency.",,,https://sf.freddiemac.com/tools-learning/sellerservicer-guide/overview#tab1,Federal Home Loan Mortgage Corporation  (Freddie Mac) Forms,Quasi-official,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8200 Jones Branch Dr.,Federal Home Loan Mortgage Corporation  (Freddie Mac),Federal Housing Finance Agency,1-703-903-2000,,,,,1-800-424-5401,1-888-995-HOPE,,,,,,http://www.freddiemac.com,Federal Home Loan Mortgage Corporation (Freddie Mac),,,,,,,,
,,,,,,,,2941,94,FEDERAL HIGHWAY ADMINISTRATION,DEPARTMENT OF TRANSPORTATION,Cabinet Level Agencies,FHA,https://www.fhwa.dot.gov/contact/,Contact the Federal Highway Administration,,,,,,,,,,,,,,,,,"The Federal Highway Administration supports state and local government in the design, construction, and maintenance of the highway system.",mailto:execsecretariat.fhwa@fhwa.dot.gov,,https://flh.fhwa.dot.gov/resources/construction/forms/wfl/internal.htm,Federal Highway Administration Forms,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1200 New Jersey Ave., SE",Federal Highway Administration (FHA),U.S. Department of Transportation,1-202-366-4000,,,,,,,,,,,,http://www.fhwa.dot.gov/,Federal Highway Administration,,,,,,,,
,,,,,,,,,,,,,,http://www.fgdc.gov/aboutus,Contact the Federal Geographic Data Committee,,,,,,,,,,,,,,,,,"The Federal Geographic Data Committee is an interagency group that promotes and coordinates the production, use, and publication of geospatial data.",mailto:fgdc@fgdc.gov,,,,"Independent Board, Commission, Committee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12201 Sunrise Valley Dr.,Federal Geographic Data Committee,,,,,,,,,,,,,,http://www.fgdc.gov/,Federal Geographic Data Committee,,,,,,,,
,,,,,,,,,,,,,,http://www.treasury.gov/ffb/contacts.shtml,Contact the Federal Financing Bank,,,,,,,,,,,,,,,,,"The Federal Financing Bank was created to centralize, reduce the cost of, and efficiently manage federal borrowing.",mailto:ffb@do.treas.gov,,,,"Independent Board, Commission, Committee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. Department of the Treasury,Federal Financing Bank,U.S. Department of the Treasury,1-202-622-2470,,,,,,,,,,,,http://www.treas.gov/ffb/,Federal Financing Bank,,,,,,,,
,,,,,,,,10,100,FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL,FEDERAL FINANCIAL INSTITUTIONS EXAMINATION COUNCIL,Small Independent Agencies (less than 100 employees),,http://www.ffiec.gov/contact/default.aspx,Contact the Federal Financial Institutions Examination Council,,,,,,,,,,,,,,,,,The Federal Financial Institutions Examination Council is an interagency body that seeks to standardize the oversight criteria and methods of the various financial regulatory bodies.,,,https://www.ffiec.gov/ffiec_report_forms.htm,Federal Financial Institutions Examination Council Forms,"Independent Board, Commission, Committee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal Financial Institutions Examination Council,,,,,,,,,,,,,,http://www.ffiec.gov/,Federal Financial Institutions Examination Council,,,,,,,,
,,,,,,,,,,,,,,https://eca.state.gov/fulbright/contact-us,Contact the Fulbright Foreign Scholarship Board,,,,,,,,,,,,,,,,,"The Fulbright Program offers grants to study, teach and conduct research for U.S. citizens to go abroad, and non-U.S. citizens to come to the United States.",mailto:fulbright@state.gov,,,,"Independent Board, Commission, Committee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"U.S. Department of State, SA-44",Fulbright Foreign Scholarship Board,U.S. Department of State,1-202-632-3238,,,,,,,,,,,,https://eca.state.gov/fulbright,Fulbright Foreign Scholarship Board,,,,,,,,
,,,,,,,,,,,,,,https://www.energy.gov/fe/contact-us,Contact the Office of Fossil Energy,,,,,,,,,,,,,,,,,"The Office of Fossil Energy is responsible for research and development of programs involving coal, petroleum, and natural gas.",mailto:FECommunications@hq.doe.gov,,,,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1000 Independence Ave., SW",Fossil Energy,U.S. Department of Energy,1-202-586-6660,,,,,,,,,,,,https://www.energy.gov/fe/office-fossil-energy,Office of Fossil Energy,,,,,,,,
Washington,FORESTSANDRANGELANDS.GOV,Federal - Executive,97,US Forest Service,U.S. Department of Agriculture,cyber.incident@usda.gov,DC,31927,95,FOREST SERVICE,DEPARTMENT OF AGRICULTURE,Cabinet Level Agencies,,https://www.fs.usda.gov/about-agency/contact-us,Contact the Forest Service,,,,,,,,,,,,,,,,,"The Forest Service works to sustain the health, diversity, and productivity of the nation's forests and grasslands.",mailto:webmaster@fs.fed.us,,,,Executive Department Sub-Office/Agency/Bureau,https://www.fs.usda.gov/organization,Contact Forest Service Regional Offices,,,,,,,,,,,,,,,,,https://www.fs.usda.gov/visit/forests-and-grasslands,Locate a Forest or Grassland,,,,,,,,,,,,,,,,,"1400 Independence Ave., SW",Forest Service,U.S. Department of Agriculture,,,,,,1-800-832-1355,,,,,,,https://www.fs.usda.gov/,Forest Service,,,,,,,,
,,,,,,,,,,,,,,https://www.justice.gov/fcsc/contact-commission,Contact the Foreign Claims Settlement Commission,https://www.justice.gov/contact-us,Contact the Department of Justice,https://www.justice.gov/component-contact-information,Directory of Department Officials,,,,,,,,,,,,,"The Foreign Claims Settlement Commission is a quasi-judicial body that hears claims cases brought by U.S. nationals against foreign governments. The jurisdiction of the body is specific, and its decisions are final.",mailto:info.FCSC@usdoj.gov,,https://www.justice.gov/forms,Foreign Claims Settlement Commission Forms,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"600 E St., NW",Foreign Claims Settlement Commission,U.S. Department of Justice,1-202-616-6975,,,,,,,,,,,,https://www.justice.gov/fcsc,Foreign Claims Settlement Commission,,,,,,,,
