path,name,budget_account_code,budget_account_name,budget_agency_code,budget_agency_name,budget_budget_level,budget_bureau_code,budget_bureau_name,budget_id,budget_name,budget_normalized_name,cisagov_name,cisagov_normalized_name,federalregister_agency_url,federalregister_child_ids,federalregister_child_slugs,federalregister_description,federalregister_id,federalregister_json_url,federalregister_logo_medium_url,federalregister_logo_small_url,federalregister_logo_thumb_url,federalregister_name,federalregister_normalized_name,federalregister_recent_articles_url,federalregister_short_name,federalregister_slug,federalregister_url,opmgov_employment,opmgov_id,opmgov_name,opmgov_normalized_name,opmgov_type,samgov_agencycode,samgov_cgaclist_0_cgac,samgov_cgaclist_1_cgac,samgov_cgaclist_2_cgac,samgov_cgaclist_3_cgac,samgov_cgaclist_4_cgac,samgov_createdby,samgov_createddate,samgov_fhagencyorgname,samgov_fhdeptindagencyorgid,samgov_fhorgid,samgov_fhorgname,samgov_fhorgnamehistory_0_effectivedate,samgov_fhorgnamehistory_0_fhorgname,samgov_fhorgparenthistory_0_actiontype,samgov_fhorgparenthistory_0_codehierarchy,samgov_fhorgparenthistory_0_effectivedate,samgov_fhorgparenthistory_0_fhfullparentpathid,samgov_fhorgparenthistory_0_fhfullparentpathname,samgov_fhorgtype,samgov_lastupdateddate,samgov_links_0_href,samgov_links_0_rel,samgov_links_1_href,samgov_links_1_rel,samgov_name,samgov_normalized_name,samgov_oldfpdsofficecode,samgov_status,samgov_updatedby,usagov_contact_0_link,usagov_contact_0_title,usagov_contact_1_link,usagov_contact_1_title,usagov_contact_2_link,usagov_contact_2_title,usagov_contact_3_link,usagov_contact_3_title,usagov_contact_4_link,usagov_contact_4_title,usagov_contact_5_link,usagov_contact_5_title,usagov_contact_6_link,usagov_contact_6_title,usagov_contact_7_link,usagov_contact_7_title,usagov_contact_8_link,usagov_contact_8_title,usagov_description,usagov_email_0_link,usagov_email_0_title,usagov_email_1_link,usagov_email_1_title,usagov_main_address_0,usagov_main_address_1,usagov_main_address_2,usagov_main_address_3,usagov_main_address_4,usagov_main_address_5,usagov_name,usagov_normalized_name,usagov_phone_number_0,usagov_phone_number_1,usagov_phone_number_2,usagov_toll-free_number_0,usagov_toll-free_number_1,usagov_toll-free_number_2,usagov_tty_0,usagov_tty_1,usagov_tty_2,usagov_website_0_link,usagov_website_0_title,usagov_website_1_link,usagov_website_1_title,usagov_website_2_link,usagov_website_2_title,usagov_website_3_link,usagov_website_3_title,usaspending_abbreviation,usaspending_active_fq,usaspending_active_fy,usaspending_agency_id,usaspending_agency_name,usaspending_agency_slug,usaspending_budget_authority_amount,usaspending_code,usaspending_congressional_justification_url,usaspending_current_total_budget_authority_amount,usaspending_id,usaspending_name,usaspending_new_award_count,usaspending_normalized_name,usaspending_obligated_amount,usaspending_outlay_amount,usaspending_percentage_of_total_budget_authority,usaspending_toptier_code,usaspending_total_obligations,usaspending_transaction_count,usgovmanual_addresses_0_email,usgovmanual_addresses_0_fax,usgovmanual_addresses_0_phone,usgovmanual_addresses_0_phone2,usgovmanual_addresses_0_url,usgovmanual_addresses_1_email,usgovmanual_addresses_1_fax,usgovmanual_addresses_1_phone,usgovmanual_addresses_1_url,usgovmanual_addresses_2_email,usgovmanual_addresses_2_phone,usgovmanual_addresses_2_url,usgovmanual_addresses_3_url,usgovmanual_addresses_4_url,usgovmanual_addresses_5_url,usgovmanual_category,usgovmanual_id,usgovmanual_introduction,usgovmanual_mission_statement_records_0_text,usgovmanual_mission_statement_records_1_note,usgovmanual_mission_statement_records_1_text,usgovmanual_name,usgovmanual_normalized_name,usgovmanual_organization_chart
/US FEDERAL GOVERNMENT/[usagov] National Park Foundation,[usagov] National Park Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nationalparks.org/contact,,https://www.nationalparks.org/contact,Contact the National Park Foundation,,,,,,,,,,,,,,,"The National Park Foundation supports America’s national parks through conservation, preservation, education, and community engagement.",mailto:ask-npf@nationalparks.org,,mailto:ask-npf@nationalparks.org,,"1201 I St., NW",Suite 550B,"Washington,",DC,20005,,National Park Foundation,National Park Foundation,1-202-354-6460,,,,,,,,,http://www.nationalparks.org/,National Park Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Oceanic and Atmospheric Administration,[usagov] National Oceanic and Atmospheric Administration,,,,,,,,,,,,,,[],[],"The National Oceanic and Atmospheric Administration (NOAA) was formed on October 3, 1970, by Reorganization Plan No. 4 of 1970 (5 U.S.C. app.).

NOAA's mission entails environmental assessment, prediction, and stewardship. It is dedicated to monitoring and assessing the state of the environment in order to make accurate and timely forecasts to protect life, property, and natural resources, as well as to promote the economic well-being of the United States and to enhance its environmental security. NOAA is committed to protecting America's ocean, coastal, and living marine resources while promoting sustainable economic development.",361,https://www.federalregister.gov/api/v1/agencies/361,https://agency-logos.federalregister.gov/361/medium.png?1306288142,https://agency-logos.federalregister.gov/361/small.png?1306288142,https://agency-logos.federalregister.gov/361/thumb.png?1306288142,National Oceanic and Atmospheric Administration,National Oceanic and Atmospheric Administration,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=361&order=newest,NOAA,national-oceanic-and-atmospheric-administration,https://www.federalregister.gov/agencies/national-oceanic-and-atmospheric-administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.noaa.gov/contact-us,Contact the National Oceanic and Atmospheric Administration (NOAA),https://nsd.rdc.noaa.gov/,Staff Directory,,,,,,,,,,,,,,,"The National Oceanic and Atmospheric Administration (NOAA) works to understand and predict changes in climate, weather, oceans, and coasts. Their work supports severe weather preparedness, and international shipping.",,,,,"1401 Constitution Ave., NW",Room 5128,"Washington,",DC,20230,,National Oceanic and Atmospheric Administration,National Oceanic and Atmospheric Administration,,,,,,,,,,https://www.noaa.gov/,National Oceanic and Atmospheric Administration (NOAA),,,,,,,NOAA,,,,,,,,,,013-NOAA,National Oceanic and Atmospheric Administration,1376,National Oceanic and Atmospheric Administration,,,,,962553148.4,5197,,,202-482-2985,,http://www.noaa.gov,,,,,,,,,,,Executive Branch: Departments,264,,The National Oceanic and Atmospheric Administration seeks to understand and predict changes in climate and weather and changes that affect coasts and oceans; shares its knowledge and information with others; and conserves and manages coastal and marine ecosystems and resources.,,,National Oceanic and Atmospheric Administration,National Oceanic and Atmospheric Administration,
/US FEDERAL GOVERNMENT/[usagov] National Ocean Service,[usagov] National Ocean Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://oceanservice.noaa.gov/contact.html,Contact the National Ocean Service,https://nsd.rdc.noaa.gov/,Staff Directory,,,,,,,,,,,,,,,"The National Ocean Service provides data, tools, and services that support coastal economies and their contribution to the national economy.",mailto:nos.info@noaa.gov,,mailto:nos.info@noaa.gov,,"SSMC4, Room 13317",1305 East West Highway,"Silver Spring,",MD,20910,,National Ocean Service,National Ocean Service,1-301-713-3010,,,,,,,,,https://oceanservice.noaa.gov/,National Ocean Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Nuclear Security Administration,[usagov] National Nuclear Security Administration,,,,,,,,,,,,,,[],[],"The National Nuclear Security Administration (NNSA) was created by Congress through the National Defense Authorization Act for Fiscal Year 2000 (113 Stat. 512) to bring focus to the management of the Nation's defense nuclear security programs. Three existing organizations within the Department of Energy--Defense Programs, Defense Nuclear Nonproliferation, and Naval Reactors--were combined into a new, separately organized and managed agency within DOE, headed by an Administrator who reports to the Secretary. NNSA is responsible for strengthening United States security through military application of nuclear energy and by reducing the global threat from terrorism and weapons of mass destruction.NNSA's service center and eight site offices provide operations oversight and contract administration for NNSA site activities, acting as the agency's risk acceptance for the site. The site offices are responsible for the following functions: the safe and secure operation of facilities under the purview of NNSA; supporting NNSA programs to ensure their success in accordance with their expectations; and ensuring the long-term viability of the site to support NNSA programs and projects.",359,https://www.federalregister.gov/api/v1/agencies/359,,,,National Nuclear Security Administration,National Nuclear Security Administration,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=359&order=newest,NNSA,national-nuclear-security-administration,https://www.federalregister.gov/agencies/national-nuclear-security-administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.energy.gov/nnsa/nnsa-contact-us,,https://www.energy.gov/nnsa/nnsa-contact-us,Contact the National Nuclear Security Administration,,,,,,,,,,,,,,,"The National Nuclear Security Administration works to ensure that the nation's stockpile of nuclear weapons is safe and secure. It also works to ensure the safety of naval nuclear reactors, is the first responder in case of nuclear emergency, and works on worldwide nuclear nonproliferation issues.",,,,,"1000 Independence Ave., SW","Washington,",DC,20585,,,National Nuclear Security Administration,National Nuclear Security Administration,1-202-586-5000 (Energy Switchboard),,,1-800-342-5363,,,,,,https://www.energy.gov/nnsa/national-nuclear-security-administration,National Nuclear Security Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Mediation Board,[usagov] National Mediation Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nmb.gov/NMB_Application/index.php/agency-contact-center/,,https://nmb.gov/NMB_Application/index.php/agency-contact-center/,Contact the National Mediation Board,,,,,,,,,,,,,,,The National Mediation Board facilitates the resolution of labor-management disputes in the rail and airline industries.,mailto:infoline@nmb.gov,,mailto:infoline@nmb.gov,,"1301 K St., NW",Suite 250 East,"Washington,",DC,20005-7011,,National Mediation Board,National Mediation Board,1-202-692-5050,,,,,,,,,https://nmb.gov/NMB_Application/,National Mediation Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[usagov] NOAA Fisheries,[usagov] NOAA Fisheries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.fisheries.noaa.gov/contact-us,Contact NOAA Fisheries,https://www.fisheries.noaa.gov/contact-directory/regional-offices,Contact NOAA Fisheries Regions,,,,,,,,,,,,,,,"NOAA Fisheries, also known as the National Marine Fisheries Service, is responsible for the management, conservation, and protection of living marine resources within about 200 miles of the U.S. coast.",,,,,1315 East-West Highway,"Silver Spring,",MD,20910,,,NOAA Fisheries,NOAA Fisheries,,,,,,,,,,https://www.nmfs.noaa.gov/,NOAA Fisheries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Library of Medicine,[usagov] National Library of Medicine,,,,,,,,,,,,,http://www.nlm.nih.gov/about/index.html,[],[],"The National Library of Medicine (NLM), on the campus of the National Institutes of Health in Bethesda, Maryland, has been a center of information innovation since its founding in 1836. The world’s largest biomedical library, NLM maintains and makes available a vast print collection and produces electronic information resources on a wide range of topics that are searched billions of times each year by millions of people around the globe. It also supports and conducts research, development, and training in biomedical informatics and health information technology. In addition, the Library coordinates a 6,000-member National Network of Libraries of Medicine that promotes and provides access to health information in communities across the United States.",356,https://www.federalregister.gov/api/v1/agencies/356,,,,National Library of Medicine,National Library of Medicine,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=356&order=newest,NLM,national-library-of-medicine,https://www.federalregister.gov/agencies/national-library-of-medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://support.nlm.nih.gov/?deptID=28054,,https://support.nlm.nih.gov/?deptID=28054,NLM Support Center,,,,,,,,,,,,,,,"The National Library of Medicine (NLM) is a leader in research in biomedical informatics and data science and the world’s largest biomedical library. NLM conducts and supports research in methods for recording, storing, retrieving, preserving, and communicating health information. It is part of the National Institutes of Health (NIH).",mailto:NLMCommunications@nih.gov,,mailto:NLMCommunications@nih.gov,,8600 Rockville Pike,"Bethesda,",MD,20894,,,National Library of Medicine,National Library of Medicine,,,,(888) 346-3656,,,,,,https://www.nlm.nih.gov/,National Library of Medicine,,,,,,,,,,,,,,75NL00,,,075-NIH-75NL00,NIH National Library of Medicine,8,NIH National Library of Medicine,,,,,21817734.94,181,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Laboratories,[usagov] National Laboratories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The National Laboratories conduct scientific research and development in areas related to energy and technology.,,,,,,,,,,,National Laboratories,National Laboratories,,,,,,,,,,https://www.energy.gov/national-laboratories,National Laboratories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Labor Relations Board,[usagov] National Labor Relations Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nlrb.gov/contact-us,,https://www.nlrb.gov/contact-us,Contact the National Labor Relations Board,,,,,,,,,,,,,,,"The National Labor Relations Board enforces the National Labor Relations Act by investigating allegations of wrong-doing brought by workers, unions, or employers, conducting elections, and deciding and resolving cases.",,,,,"1099 14th St., NW","Washington,",DC,20570-0001,,,National Labor Relations Board,National Labor Relations Board,1-202-273-1000,,,1-866-667-NLRB (1-866-667-6572),,,1-866-315-NLRB (1-866-315-6572),,,https://www.nlrb.gov/,National Labor Relations Board (NLRB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Interagency Fire Center,[usagov] National Interagency Fire Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nifc.gov/contact-us,Contact the National Interagency Fire Center,https://www.nifc.gov/sites/default/files/document-media/web_directory.pdf,Staff Directory,,,,,,,,,,,,,,,The National Interagency Fire Center coordinates the national mobilization of resources for wildland fire and other incidents throughout the United States.,mailto:BLM_FA_NIFC_Comments@blm.gov,,mailto:BLM_FA_NIFC_Comments@blm.gov,,3833 S Development Ave.,"Boise,",ID,83705-5354,,,National Interagency Fire Center,National Interagency Fire Center,1-208-387-5512,,,,,,,,,https://www.nifc.gov/,National Interagency Fire Center,,,,,,,,,,,,,,140L37,,,014-BLM-140L37,NATIONAL INTERAGENCY FIRE CENTER,77,National INTERAGENCY Fire Center,,,,,10568794.19,247,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Institutes of Health,[usagov] National Institutes of Health,,,,,,,,,,,,,,[],[],"The National Institutes of Health (NIH) supports biomedical and behavioral research domestically and abroad, conducts research in its own laboratories and clinics, trains research scientists, and develops and disseminates credible, science-based health information to the public.",353,https://www.federalregister.gov/api/v1/agencies/353,,,,National Institutes of Health,National Institutes of Health,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=353&order=newest,NIH,national-institutes-of-health,https://www.federalregister.gov/agencies/national-institutes-of-health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nih.gov/about-nih/contact-us,Contact the National Institutes of Health,https://www.nih.gov/about-nih/ask-nih,Email the National Institutes of Health,,,,,,,,,,,,,,,The National Institutes of Health (NIH) is the primary Federal agency for conducting and supporting medical research.,,,,,9000 Rockville Pike,"Bethesda,",MD,20892,,,National Institutes of Health,National Institutes of Health,1-301-496-4000,,,,,,1-301-402-9612,,,https://www.nih.gov/,National Institutes of Health (NIH),,,,,,,NIH,,,,,,,,,,075-NIH,National Institutes of Health,9143,National Institutes of Health,,,,,11901614846.71,58587,,,301-496-4000,,http://www.nih.gov,,,,,,,,,,,Executive Branch: Departments,318,,"The National Institutes of Health seeks to expand fundamental knowledge about the nature and behavior of living systems and to apply that knowledge for improved health, longer life, and for reducing disability and illness.",,,National Institutes of Health,National Institutes of Health,
/US FEDERAL GOVERNMENT/[usagov] National Institute of Standards and Technology,[usagov] National Institute of Standards and Technology,,,,,,,,,,,,,,[],[],"The National Institute of Standards and Technology (NIST) operates under the authority of the National Institute of Standards and Technology Act (15 U.S.C. 271), which amends the Organic Act of March 3, 1901 (ch. 872), that created the National Bureau of Standards (NBS) in 1901. In 1988, Congress renamed NBS as NIST and expanded its activities and responsibilities.NIST is a nonregulatory Federal agency within the Commerce Department. Its mission is to promote measurement science, standards, and technology to enhance productivity, facilitate trade, and improve the quality of life. NIST carries out its mission through the NIST laboratories, which conduct research to advance the U.S. technological infrastructure; the Baldrige National Quality Program, which helps U.S. businesses and other organizations improve the performance and quality of their operations; the Hollings Manufacturing Extension Partnership, which helps smaller firms adopt new manufacturing and management technologies; and the Technology Innovative Program, which provides cost-shared awards to industry and other institutions for high-risk, high-reward research in areas of critical national need.",352,https://www.federalregister.gov/api/v1/agencies/352,,,,National Institute of Standards and Technology,National Institute of Standards and Technology,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=352&order=newest,NIST,national-institute-of-standards-and-technology,https://www.federalregister.gov/agencies/national-institute-of-standards-and-technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.nist.gov/public_affairs/contact.cfm,Contact the National Institute of Standards and Technology,https://www.nist.gov/about-nist/our-organization/people,Staff Directory,,,,,,,,,,,,,,,"The National Institute of Standards and Technology promotes U.S. innovation and industrial competitiveness by advancing measurement science, standards, and technology in ways that enhance economic security and improve our quality of life.",mailto:inquiries@nist.gov,,mailto:inquiries@nist.gov,,100 Bureau Dr.,Stop 1070,"Gaithersburg,",MD,20899-1070,,National Institute of Standards and Technology,National Institute of Standards and Technology,1-301-975-6478,,,,,,1-800-877-8339,,,https://www.nist.gov/,National Institute of Standards and Technology (NIST),,,,,,,NIST,,,,,,,,,,013-NIST,National Institute of Standards and Technology,455,National Institute of Standards and Technology,,,,,678995265.48,1324,,,301-975-2000,,http://www.nist.gov,,,,,,,,,,,Executive Branch: Departments,266,,,,,National Institute of Standards and Technology,National Institute of Standards and Technology,
/US FEDERAL GOVERNMENT/[usagov] National Institute of Occupational Safety and Health,[usagov] National Institute of Occupational Safety and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.cdc.gov/niosh/contact/default.html,,https://www.cdc.gov/niosh/contact/default.html,Contact the National Institute of Occupational Safety and Health,,,,,,,,,,,,,,,The National Institute for Occupational Safety and Health (NIOSH) conducts research and makes recommendations for the prevention of work-related injury and illness.,,,,,"395 E St., SW",Suite 9200,"Washington,",DC,20201,,National Institute of Occupational Safety and Health,National Institute of Occupational Safety and Health,,,,1-800-CDC-INFO (1-800-232-4636),,,1-888-232-6348,,,https://www.cdc.gov/niosh/,National Institute of Occupational Safety and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Institute of Neurological Disorders and Stroke,[usagov] National Institute of Neurological Disorders and Stroke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.ninds.nih.gov/contact-us,,https://www.ninds.nih.gov/contact-us,Contact Form,,,,,,,,,,,,,,,"The National Institute of Neurological Disorders and Stroke investigates the causes, prevention, diagnosis and treatment of neurological diseases such as cerebral palsy, Parkinson's disease, multiple sclerosis, autism, and stroke.",,,,,PO Box 5801,"Bethesda,",MD,20824,,,National Institute of Neurological Disorders and Stroke,National Institute of Neurological Disorders and Stroke,,,,1-800-352-9424,,,,,,https://www.ninds.nih.gov/,National Institute of Neurological Disorders and Stroke,,,,,,,,,,,,,,75NQ00,,,075-NIH-75NQ00,NIH National Institute of Neurological Disorders and Stroke,429,NIH National Institute of Neurological Disorders and Stroke,,,,,695429084.66,3636,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Institute of Mental Health,[usagov] National Institute of Mental Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.nimh.nih.gov/site-info/contact-nimh.shtml,,https://www.nimh.nih.gov/site-info/contact-nimh.shtml,Contact the National Institute of Mental Health,,,,,,,,,,,,,,,"The National Institute of Mental Health conducts and supports research that seeks to understand, treat, and prevent mental illness.",mailto:nimhinfo@nih.gov,,mailto:nimhinfo@nih.gov,,National Institutes of Health (NIH),6001 Executive Blvd.,"Room 8184, MSC 9663","Bethesda,",MD,20892-9663,National Institute of Mental Health,National Institute of Mental Health,1-301-443-4513,,,1-866-615-6464,,,1-301-443-8431,1-866-415-8051,,https://www.nimh.nih.gov/index.shtml,National Institute of Mental Health (NIMH),,,,,,,,,,,,,,75N700,,,075-NIH-75N700,NIH National Institute of Mental Health,243,NIH National Institute of Mental Health,,,,,556567408.4,2740,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Institute of Justice,[usagov] National Institute of Justice,,,,,,,,,,,,,http://nij.gov/,[],[],"NIJ was created in 1969 by the Omnibus Crime Control and Safe Streets Act as the National Institute of Law Enforcement and Criminal Justice with the purpose of monitoring and supporting federally funded criminal justice research to assist State and local governments to improve police, courts and corrections issues. Renamed National Institute of Justice in 1978, NIJ currently functions as the research, development and evaluation agency of the U.S. Department of Justice.",351,https://www.federalregister.gov/api/v1/agencies/351,https://agency-logos.federalregister.gov/351/medium.png?1462304961,https://agency-logos.federalregister.gov/351/small.png?1462304961,https://agency-logos.federalregister.gov/351/thumb.png?1462304961,National Institute of Justice,National Institute of Justice,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=351&order=newest,NIJ,national-institute-of-justice,https://www.federalregister.gov/agencies/national-institute-of-justice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nij.ojp.gov/contact,,https://nij.ojp.gov/contact,Contact the National Institute of Justice,,,,,,,,,,,,,,,The National Institute of Justice is dedicated to improving knowledge and understanding of crime and justice issues through science.,,,,,"810 Seventh St., NW","Washington,",DC,20531,,,National Institute of Justice,National Institute of Justice,1-202-307-2942,,,,,,,,,https://nij.ojp.gov/contact,National Institute of Justice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Institute of Food and Agriculture,[usagov] National Institute of Food and Agriculture,,,,,,,,,,,,,,[],[],"The National Institute of Food and Agriculture (NIFA) is an agency within the U.S. Department of Agriculture (USDA), part of the executive branch of the Federal Government. Congress created NIFA through the Food, Conservation, and Energy Act of 2008. NIFA replaced the former Cooperative State Research, Education, and Extension Service (CSREES), which had been in existence since 1994.",350,https://www.federalregister.gov/api/v1/agencies/350,,,,National Institute of Food and Agriculture,National Institute of Food and Agriculture,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=350&order=newest,NIFA,national-institute-of-food-and-agriculture,https://www.federalregister.gov/agencies/national-institute-of-food-and-agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nifa.usda.gov/contact-us,,https://nifa.usda.gov/contact-us,Contact the National Institute of Food and Agriculture,,,,,,,,,,,,,,,The National Institute of Food and Agriculture is a research and grant-making organization focused on agriculture.,,,,,Mailing Address:,"1400 Independence Ave., SW",Mail Stop 2201,"Washington,",DC,20250-2201,National Institute of Food and Agriculture,National Institute of Food and Agriculture,1-202-720-4651,,,,,,,,,http://www.nifa.usda.gov,National Institute of Food and Agriculture,,,,,,,NIFA,,,,,,,,,,012-NIFA,National Institute of Food and Agriculture,1016,National Institute of Food and Agriculture,,,,,585072277.37,1885,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Institute of Diabetes and Digestive and Kidney Diseases,[usagov] National Institute of Diabetes and Digestive and Kidney Diseases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.niddk.nih.gov/about-niddk/contact-us,,https://www.niddk.nih.gov/about-niddk/contact-us,Contact Form,,,,,,,,,,,,,,,"The National Institute of Diabetes and Digestive and Kidney Diseases supports the research of diabetes, digestive diseases, kidney diseases, and more.",mailto:healthinfo@niddk.nih.gov,,mailto:healthinfo@niddk.nih.gov,,"31 Center Drive, MSC 2560","Building 31, room 9A04","Bethesda,",MD,20892,,National Institute of Diabetes and Digestive and Kidney Diseases,National Institute of Diabetes and Digestive and Kidney Diseases,,,,1-800-860-8747,,,1-866-569-1162,,,https://www.niddk.nih.gov/,National Institute of Diabetes and Digestive and Kidney Diseases,,,,,,,,,,,,,,75NK00,,,075-NIH-75NK00,NIH National Institute of Diabetes and Digestive and Kidney Diseases,327,NIH National Institute of Diabetes and Digestive and Kidney Diseases,,,,,596541852.64,3125,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Institute of Deafness and Other Communication Disorders,[usagov] National Institute of Deafness and Other Communication Disorders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The National Institute of Deafness and Other Communication Disorders supports biomedical and behavioral research on hearing, balance, smell, taste, voice, speech and language.",mailto:nidcdinfo@nidcd.nih.gov,,mailto:nidcdinfo@nidcd.nih.gov,,"31 Center Drive, MSC 2320","Bethesda,",MD,20892-2320,,,National Institute of Deafness and Other Communication Disorders,National Institute of Deafness and Other Communication Disorders,,,,1-800-241-1044,,,1-800-241-1055,,,https://www.nidcd.nih.gov/,National Institute on Deafness and Other Communication Disorders,,,,,,,,,,,,,,75N300,,,075-NIH-75N300,NIH National Institute on Deafness and Other Communication Disorders,93,NIH National Institute on Deafness and Other Communication Disorders,,,,,163091919.3,1060,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Institute of Corrections,[usagov] National Institute of Corrections,,,,,,,,,,,,,http://nicic.gov/,[],[],"The National Institute of Corrections (NIC) is an agency within the U.S. Department of Justice, Federal Bureau of Prisons. NIC was established by Public Law 93-415. 

NIC provides training, technical assistance, information services, and policy/program development assistance to Federal, State, and local corrections agencies. 

The National Institute of Corrections also awards funds through cooperative agreements to support various program initiatives. It aslo provides leadership to influence correctional policies, practices, and operations nationwide in areas of emerging interest and concern to correctional executives and practitioners as well as public policymakers. ",349,https://www.federalregister.gov/api/v1/agencies/349,https://agency-logos.federalregister.gov/349/medium.png?1314824649,https://agency-logos.federalregister.gov/349/small.png?1314824649,https://agency-logos.federalregister.gov/349/thumb.png?1314824649,National Institute of Corrections,National Institute of Corrections,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=349&order=newest,NIC,national-institute-of-corrections,https://www.federalregister.gov/agencies/national-institute-of-corrections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://nicic.gov/form/contact-nic-staff,Contact the National Institute of Corrections,https://nicic.gov/training,Contact the National Institute of Corrections Training Center,,,,,,,,,,,,,,,"The National Institute of Corrections gives training, technical assistance, and information services to federal, state, and local corrections facilities.",,,,,"320 First St., NW","Washington,",DC,20543,,,National Institute of Corrections,National Institute of Corrections,1-202-307-3106,,,1-800-995-6423,,,,,,https://nicic.gov/,National Institute of Corrections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
