path,name,usagov_contact_0_link,usagov_contact_0_title,usagov_contact_1_link,usagov_contact_1_title,usagov_contact_2_link,usagov_contact_2_title,usagov_contact_3_link,usagov_contact_3_title,usagov_contact_4_link,usagov_contact_4_title,usagov_contact_5_link,usagov_contact_5_title,usagov_contact_6_link,usagov_contact_6_title,usagov_contact_7_link,usagov_contact_7_title,usagov_contact_8_link,usagov_contact_8_title,usagov_description,usagov_email_0_link,usagov_email_0_title,usagov_email_1_link,usagov_email_1_title,usagov_find_an_office_near_you_0_link,usagov_find_an_office_near_you_0_title,usagov_find_an_office_near_you_1_link,usagov_find_an_office_near_you_1_title,usagov_find_an_office_near_you_2_link,usagov_find_an_office_near_you_2_title,usagov_find_an_office_near_you_3_link,usagov_find_an_office_near_you_3_title,usagov_find_an_office_near_you_4_link,usagov_find_an_office_near_you_4_title,usagov_find_an_office_near_you_5_link,usagov_find_an_office_near_you_5_title,usagov_find_an_office_near_you_6_link,usagov_find_an_office_near_you_6_title,usagov_find_an_office_near_you_7_link,usagov_find_an_office_near_you_7_title,usagov_find_an_office_near_you_8_link,usagov_find_an_office_near_you_8_title,usagov_find_an_office_near_you_9_link,usagov_find_an_office_near_you_9_title,usagov_find_an_office_near_you_10_link,usagov_find_an_office_near_you_10_title,usagov_find_an_office_near_you_11_link,usagov_find_an_office_near_you_11_title,usagov_find_an_office_near_you_12_link,usagov_find_an_office_near_you_12_title,usagov_find_an_office_near_you_13_link,usagov_find_an_office_near_you_13_title,usagov_find_an_office_near_you_14_link,usagov_find_an_office_near_you_14_title,usagov_find_an_office_near_you_15_link,usagov_find_an_office_near_you_15_title,usagov_find_an_office_near_you_16_link,usagov_find_an_office_near_you_16_title,usagov_find_an_office_near_you_17_link,usagov_find_an_office_near_you_17_title,usagov_main_address_0,usagov_main_address_1,usagov_main_address_2,usagov_main_address_3,usagov_main_address_4,usagov_main_address_5,usagov_name,usagov_phone_number_0,usagov_phone_number_1,usagov_phone_number_2,usagov_toll-free_number_0,usagov_toll-free_number_1,usagov_toll-free_number_2,usagov_tty_0,usagov_tty_1,usagov_tty_2,usagov_website_0_link,usagov_website_0_title,usagov_website_1_link,usagov_website_1_title,usagov_website_2_link,usagov_website_2_title,usagov_website_3_link,usagov_website_3_title
/US FEDERAL GOVERNMENT/[usagov] Court of Appeals for the Armed Forces,[usagov] Court of Appeals for the Armed Forces,https://www.armfor.uscourts.gov/newcaaf/contact.htm,,https://www.armfor.uscourts.gov/newcaaf/contact.htm,Contact the Court of Appeals for the Armed Forces,,,,,,,,,,,,,,,The Court of Appeals for the Armed Forces is an appeals court with worldwide jurisdiction for anyone subject to the Uniform Code of Military Justice.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"450 E St., NW","Washington,",DC,20441-0001,,,Court of Appeals for the Armed Forces,1-202-761-1448,,,,,,,,,https://www.armfor.uscourts.gov/newcaaf/home.htm,Court of Appeals for the Armed Forces,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Council on Environmental Quality,[usagov] Council on Environmental Quality,https://www.whitehouse.gov/contact/,,https://www.whitehouse.gov/contact/,Contact the Council on Environmental Quality,,,,,,,,,,,,,,,"The Council on Environmental Quality coordinates federal environmental activities, and the development of environmental policy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"730 Jackson Place, NW","Washington,",DC,20503,,,Council on Environmental Quality,1-202-395-5750,,,,,,,,,https://www.whitehouse.gov/ceq/,Council on Environmental Quality,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Council of Economic Advisers,[usagov] Council of Economic Advisers,https://www.whitehouse.gov/contact,,https://www.whitehouse.gov/contact,Contact the Council of Economic Advisers,,,,,,,,,,,,,,,The Council of Economic Advisers gives the president advice on domestic and international economic policy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The White House,"1600 Pennsylvania Ave., NW","Washington,",DC,20500,,Council of Economic Advisers,,,,,,,,,,https://www.whitehouse.gov/cea,Council of Economic Advisers,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Copyright Office,[usagov] Copyright Office,https://www.copyright.gov/help/,,https://www.copyright.gov/help/,Contact the Copyright Office Copyright Questions,,,,,,,,,,,,,,,"The Copyright Office administers the national copyright system and provides advice on copyright law to congress, federal agencies, the courts and the public.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. Copyright Office,"101 Independence Ave., SE","Washington,",DC,20559-6000,,Copyright Office,1-202-707-3000,1-202-707-5959 (general questions),,1-877-476-0778,,,,,,https://www.copyright.gov/,Copyright Office,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Coordinating Council on Juvenile Justice and Delinquency Prevention,[usagov] Coordinating Council on Juvenile Justice and Delinquency Prevention,https://juvenilecouncil.ojp.gov/contact,,https://juvenilecouncil.ojp.gov/contact,Contact the Coordinating Council on Juvenile Justice and Delinquency Prevention,,,,,,,,,,,,,,,"The Coordinating Council on Juvenile Justice and Delinquency Prevention coordinates, studies the effectiveness of, and makes recommendations on juvenile crime prevention activities.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"810 7th St., NW","Washington,",DC,20531,,,Coordinating Council on Juvenile Justice and Delinquency Prevention,1-202-616-7567,,,,,,,,,https://juvenilecouncil.ojp.gov/,Coordinating Council on Juvenile Justice and Delinquency Prevention,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Consumer Product Safety Commission,[usagov] Consumer Product Safety Commission,https://www.cpsc.gov/About-CPSC/Contact-Information,Contact the Consumer Product Safety Commission,https://www.saferproducts.gov/IncidentReporting,Report an Unsafe Product,,,,,,,,,,,,,,,"The Consumer Product Safety Commission (CPSC) protects the public from unreasonable risks of serious injury or death from thousands of types of consumer products under its jurisdiction, including products that pose a fire, electrical, chemical, or mechanical hazard or can injure children.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4330 East West Hwy.,"Bethesda,",MD,20814,,,Consumer Product Safety Commission,1-301-504-7923,,,"1-800-638-2772 (8:00 AM - 5:30 PM, ET)",,,,,,https://www.cpsc.gov/,Consumer Product Safety Commission,https://www.recalls.gov/,Government recalls,https://www.saferproducts.gov,"Report incidents, injuries, or safety concerns",https://www.cpsc.gov/es/SeguridadConsumidor,In Spanish
/US FEDERAL GOVERNMENT/[usagov] Congressional Research Service,[usagov] Congressional Research Service,https://www.loc.gov/crsinfo/contact/,,https://www.loc.gov/crsinfo/contact/,Contact the Congressional Research Service,,,,,,,,,,,,,,,"The Congressional Research Service serves the Congress throughout the legislative process by providing comprehensive and reliable legislative research and analysis that are timely, objective, authoritative, and confidential, thereby contributing to an informed national legislature.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"101 Independence Ave., SE","Washington,",DC,20540,,,Congressional Research Service,1-202-707-5000,,,,,,,,,https://www.loc.gov/crsinfo/about/,Congressional Research Service,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Congressional Office for International Leadership,[usagov] Congressional Office for International Leadership,https://www.openworld.gov/content/contact-us-1,,https://www.openworld.gov/content/contact-us-1,Contact the Congressional Office for International Leadership,,,,,,,,,,,,,,,"The Congressional Office for International Leadership engages members of Congress and their constituents in congressional and citizen diplomacy with political and civic leaders from around the globe. COIL achieves this through the Open World program, a ten-day professional exchange dedicated to strengthening mutual understanding and sharing best practices in accountable governance, civil society, private sector, and the rule of law.",mailto:openworld@coil.gov,,mailto:openworld@coil.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"101 Independence Ave., SE","John Adams Building, Room 144","Washington,",DC,20540-9980,,Congressional Office for International Leadership,1-202-707-8943,,,,,,,,,https://www.openworld.gov/,Congressional Office for International Leadership,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Congressional Budget Office,[usagov] Congressional Budget Office,https://www.cbo.gov/about/contact,,https://www.cbo.gov/about/contact,Contact the Congressional Budget Office,,,,,,,,,,,,,,,"The Congressional Budget Office produces independent, nonpartisan, analysis of economic and budgetary issues to support the Congressional budget process.",mailto:communications@cbo.gov,,mailto:communications@cbo.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ford House Office Building, 4th Floor","Second and D Sts., SW","Washington,",DC,20515-6925,,Congressional Budget Office,1-202-226-2602,,,,,,,,,https://www.cbo.gov/,Congressional Budget Office,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Computer Emergency Readiness Team,[usagov] Computer Emergency Readiness Team,https://us-cert.cisa.gov/contact-us,,https://us-cert.cisa.gov/contact-us,Contact the Computer Emergency Readiness Team (US CERT),,,,,,,,,,,,,,,"The Computer Emergency Readiness Team works to improve the nation's cybersecurity posture, coordinates cyber information sharing, and manages cyber risks to the nation.",mailto:info@us-cert.gov,,mailto:info@us-cert.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mailstop: 0635,"245 Murray Lane SW, Building 410","Washington,",DC,20598,,Computer Emergency Readiness Team,1-888-282-0870,,,,,,,,,https://us-cert.cisa.gov/,Computer Emergency Readiness Team (US CERT),,,,,,
/US FEDERAL GOVERNMENT/[usagov] Community Oriented Policing Services,[usagov] Community Oriented Policing Services,http://www.cops.usdoj.gov/Default.asp?Item=256,,http://www.cops.usdoj.gov/Default.asp?Item=256,Contact Community Oriented Policing Services,,,,,,,,,,,,,,,The Office of Community Oriented Policing Services advances the practice of community policing through sharing information and making grants to police departments in the United States.,mailto:askCopsRC@usdoj.gov,,mailto:askCopsRC@usdoj.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"145 N St., NE","Washington,",DC,20530,,,Community Oriented Policing Services,,,,1-800-421-6770,,,,,,http://www.cops.usdoj.gov/,Community Oriented Policing Services,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Fulbright Foreign Scholarship Board,[usagov] Fulbright Foreign Scholarship Board,https://eca.state.gov/fulbright/contact-us,,https://eca.state.gov/fulbright/contact-us,Contact the Fulbright Foreign Scholarship Board,,,,,,,,,,,,,,,"The Fulbright Program offers grants to study, teach and conduct research for U.S. citizens to go abroad, and non-U.S. citizens to come to the United States.",mailto:fulbright@state.gov,,mailto:fulbright@state.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"U.S. Department of State, SA-44","301 4th Street SW, #664","Washington,",DC,20547,,Fulbright Foreign Scholarship Board,1-202-632-3238,,,,,,,,,https://eca.state.gov/fulbright,Fulbright Foreign Scholarship Board,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Nuclear Waste Technical Review Board,[usagov] Nuclear Waste Technical Review Board,,,,,,,,,,,,,,,,,,,The Nuclear Waste Technical Review Board provides scientific and technical oversight of the Department of Energy's program for managing and disposing of high-level nuclear waste and spent nuclear fuel.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300 Clarendon Blvd.,Suite 1300,"Arlington,",VA,22201,,Nuclear Waste Technical Review Board,1-703-235-4473,,,,,,,,,http://www.nwtrb.gov/,Nuclear Waste Technical Review Board,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Northern Border Regional Commission,[usagov] Northern Border Regional Commission,,,,,,,,,,,,,,,,,,,"The Northern Border Regional Commission is a federal-state partnership for economic, and community development in northern Maine, New Hampshire, Vermont, and New York.",,,,,https://www.nbrc.gov/content/contact,,https://www.nbrc.gov/content/contact,Contact the Northern Border Regional Commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"James Cleveland Federal Building, Suite 1201",53 Pleasant Street,"Concord,",NH,03301,,Northern Border Regional Commission,1-603-369-3001,,,,,,,,,https://www.nbrc.gov/,Northern Border Regional Commission,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Natural Resources Conservation Service,[usagov] Natural Resources Conservation Service,https://www.nrcs.usda.gov/contact,,https://www.nrcs.usda.gov/contact,Contact the Natural Resources Conservation Service,,,,,,,,,,,,,,,The Natural Resources Conservation Service works with landowners for conservation planning and assistance to foster healthy ecosystems.,,,,,https://www.nrcs.usda.gov/contact/find-a-service-center,,https://www.nrcs.usda.gov/contact/find-a-service-center,Find a Service Center Near You,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14th and Independence Ave., SW",Room 5109-S,"Washington,",DC,20250,,Natural Resources Conservation Service,1-202-720-4527,,,,,,,,,https://www.nrcs.usda.gov/,Natural Resources Conservation Service,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National War College,[usagov] National War College,https://nwc.ndu.edu/Contact/,,https://nwc.ndu.edu/Contact/,Contact the National War College,,,,,,,,,,,,,,,"The National War College educates future leaders of the Armed Forces, State Department, and other civilian agencies through the study of national security strategy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 D St., SW",Fort Lesley J. McNair,"Washington,",DC,20319-4078,,National War College,1-202-685-3674,,,,,,,,,https://www.ndu.edu/Academics/CollegesCenters/NationalWarCollege.aspx,National War College,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Uniformed Services University of the Health Sciences,[usagov] Uniformed Services University of the Health Sciences,https://www.usuhs.edu/contact-us,,https://www.usuhs.edu/contact-us,Contact the Uniformed Services University of the Health Sciences,,,,,,,,,,,,,,,"The Uniformed Services University of the Health Sciences is comprised of a School of Medicine and a School of Nursing, providing higher health sciences education and training to service members.",mailto:webmaster@usuhs.edu,,mailto:webmaster@usuhs.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4301 Jones Bridge Rd.,"Bethesda,",MD,20814,,,Uniformed Services University of the Health Sciences,1-301-295-3013,1-301-295-3383 (Admissions),,,,,,,,https://www.usuhs.edu/,Uniformed Services University of the Health Sciences,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Unified Combatant Commands,[usagov] Unified Combatant Commands,https://www.defense.gov/Contact/,,https://www.defense.gov/Contact/,Contact the Unified Combatant Commands,,,,,,,,,,,,,,,The Unified Combatant Commands promote effective and efficient cooperation between the uniformed services.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400 Defense Pentagon,"Washington,",DC,20301-1400,,,Unified Combatant Commands,1-703-571-3343,,,,,,,,,https://www.defense.gov/,Unified Combatant Commands,,,,,,
/US FEDERAL GOVERNMENT/[usagov] U.S. Transportation Command,[usagov] U.S. Transportation Command,https://www.ustranscom.mil/cmd/associated.cfm,,https://www.ustranscom.mil/cmd/associated.cfm,"Contacts for Industry Partners, U.S. Transportation Command",,,,,,,,,,,,,,,"The U.S. Transportation Command provides transportation services and capabilities to the other combatant commands, the military services, and defense agencies..",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,US Transportation Command,"Scott Air Force Base,",IL,62225-5357,,,U.S. Transportation Command,1-618-220-4999,,,,,,,,,https://www.ustranscom.mil/,Transportation Command,,,,,,
/US FEDERAL GOVERNMENT/[usagov] U.S. Nuclear Regulatory Commission,[usagov] U.S. Nuclear Regulatory Commission,http://www.nrc.gov/about-nrc/contactus.html,,http://www.nrc.gov/about-nrc/contactus.html,Contact the Nuclear Regulatory Commission,,,,,,,,,,,,,,,"The Nuclear Regulatory Commission regulates commercial nuclear power plants, and other uses of nuclear materials.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nuclear Regulatory Commission,"Washington,",DC,20555-0001,,,U.S. Nuclear Regulatory Commission,1-301-415-7000,1-301-816-5100 (Report Safety or Security Concerns),,1-800-368-5642,1-800-695-7403 (Report Safety or Security Concerns),,1-301-415-5575,,,http://www.nrc.gov/,Nuclear Regulatory Commission (NRC),,,,,,
/US FEDERAL GOVERNMENT/[usagov] U.S. Northern Command,[usagov] U.S. Northern Command,https://www.northcom.mil/Contact.aspx,,https://www.northcom.mil/Contact.aspx,Contact the Northern Command,,,,,,,,,,,,,,,"The Northern Command is responsible for defending the continental United States and Alaska, and for coordinating with the defenses of Canada, Mexico, and the Bahamas.",mailto:nc.pa.omb@northcom.mil,,mailto:nc.pa.omb@northcom.mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 Vandenburg,Suite B016,"Peterson AFB,",CO,80914-3808,,U.S. Northern Command,1-719-554-6889,1-719-556-7321 (Peterson Operator),,,,,,,,https://www.northcom.mil/,Northern Command,,,,,,
/US FEDERAL GOVERNMENT/[usagov] U.S. Navy,[usagov] U.S. Navy,https://www.navy.mil/Resources/Contact-Us/,Contact the U.S. Navy,https://www.navy.com/contact,E-mail a Navy Recruiter,,,,,,,,,,,,,,,The Navy's primary mission is to defend the United States.,,,,,https://www.navy.mil/Resources/Frequently-Asked-Questions/,Navy Personnel Locator,https://www.navy.com/local,Find a Navy Recruiter Near You,https://www.cnic.navy.mil/Map/,Find Navy Installations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 Navy Pentagon,"Washington,",DC,20350-1200,,,U.S. Navy,,,,1-800-872-6289,,,,,,https://www.navy.mil/,U.S. Navy,,,,,,
/US FEDERAL GOVERNMENT/[usagov] U.S. Mission to the United Nations,[usagov] U.S. Mission to the United Nations,https://usun.usmission.gov/mission/contact-us/,,https://usun.usmission.gov/mission/contact-us/,Contact the U.S. Mission to the United Nations,,,,,,,,,,,,,,,The U.S. Mission to the United Nations carries out the nation's participation in the world body.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,799 United Nations Plaza,"New York,",NY,10017,,,U.S. Mission to the United Nations,1-212-415-4062,,,,,,,,,https://usun.usmission.gov/,U.S. Mission to the United Nations,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Committee on Foreign Investment in the United States,[usagov] Committee on Foreign Investment in the United States,,,,,,,,,,,,,,,,,,,The Committee on Foreign Investment in the United States reviews transactions that could result in control of a U.S. business by a foreign person.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1500 Pennsylvania Ave., NW","Washington,",DC,20220,,,Committee on Foreign Investment in the United States,1-202-662-2000,,,,,,,,,http://www.treasury.gov/about/organizational-structure/offices/International-Affairs/Pages/cfius-index.aspx,Committee on Foreign Investment in the United States,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Committee for the Implementation of Textile Agreements,[usagov] Committee for the Implementation of Textile Agreements,https://www.trade.gov/about-us/otexa-contact-us,,https://www.trade.gov/about-us/otexa-contact-us,Contact the Committee for the Implementation of Textile Agreements,,,,,,,,,,,,,,,"The Committee for the Implementation of Textile Agreements works on textile trade policy, and textile trade agreements.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Trade Administration,Office of Textiles and Apparel,"1401 Constitution Ave., NW","Washington,",DC,20230,Committee for the Implementation of Textile Agreements,,,,,,,,,,http://otexa.trade.gov/cita_otexa.htm,Committee for the Implementation of Textile Agreements,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Commission on Civil Rights,[usagov] Commission on Civil Rights,https://www.usccr.gov/contact/offices,,https://www.usccr.gov/contact/offices,Contact the Commission on Civil Rights,,,,,,,,,,,,,,,"The U.S. Commission on Civil Rights is an independent, bipartisan agency charged with monitoring federal civil rights enforcement.",mailto:referrals@usccr.gov,,mailto:referrals@usccr.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Affairs Unit,"624 9th St., NW","Washington,",DC,20425,,Commission on Civil Rights,1-202-376-7700,1-202-376-8513 (Complaint Referrals),,1-800-552-6843 (Complaint Referrals),,,1-202-376-8116 (Complaint Referral),,,http://www.usccr.gov,Commission on Civil Rights,,,,,,
"/US FEDERAL GOVERNMENT/[usagov] Civil Rights Division, Department of Justice","[usagov] Civil Rights Division, Department of Justice",https://www.justice.gov/doj/webform/your-message-department-justice,,https://www.justice.gov/doj/webform/your-message-department-justice,Contact Form,,,,,,,,,,,,,,,"The Civil Rights Division is responsible for enforcing federal statutes that prohibit discrimination based on race, color, religion, sex, disability or national origin.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"950 Pennsylvania Avenue, NW","Washington,",DC,20530,,,"Civil Rights Division, Department of Justice",1-202-514-4609,,,,,,1-800-877-8339,,,https://www.justice.gov/crt,"Civil Rights Division, Department of Justice",,,,,,
/US FEDERAL GOVERNMENT/[usagov] Citizens' Stamp Advisory Committee,[usagov] Citizens' Stamp Advisory Committee,,,,,,,,,,,,,,,,,,,The Citizens' Stamp Advisory Committee evaluates all stamp proposals. The Committee's primary goal is to select subjects of broad national interest for recommendation to the Postmaster General that are both interesting and educational.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"475 L’Enfant Plaza, SW",Room 3300,"Washington,",DC,20260-3501,,Citizens' Stamp Advisory Committee,,,,,,,,,,https://about.usps.com/who-we-are/csac/welcome.htm,Citizens' Stamp Advisory Committee,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Chief Information Officers Council,[usagov] Chief Information Officers Council,,,,,,,,,,,,,,,,,,,The CIO Council is the principal interagency forum on Federal agency practices for information technology management.,mailto:feedback@cio.gov,,mailto:feedback@cio.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,,,,,,Chief Information Officers Council,,,,,,,,,,https://www.cio.gov/,Chief Information Officers Council,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Chief Human Capital Officers Council,[usagov] Chief Human Capital Officers Council,,,,,,,,,,,,,,,,,,,"The Chief Human Capital Officers Council works to modernize human resources systems, improve the quality of human resources information, and advises on legislation affecting human resources operations.",mailto:chcoc@opm.gov,,mailto:chcoc@opm.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1900 E St., NW",Suite 5H27,"Washington,",DC,20415,,Chief Human Capital Officers Council,,,,,,,,,,https://www.chcoc.gov/,Chief Human Capital Officers Council,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Chief Financial Officers Council,[usagov] Chief Financial Officers Council,,,,,,,,,,,,,,,,,,,The Chief Financial Officers Council works to improve financial management in the U.S. government.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,,,,,,Chief Financial Officers Council,,,,,,,,,,https://www.cfo.gov,Chief Financial Officers Council,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Chief Acquisition Officers Council,[usagov] Chief Acquisition Officers Council,,,,,,,,,,,,,,,,,,,The Chief Acquisition Officers Council monitors and improves the federal acquisition system.,mailto:acquisition_gov.systemadmin@gsa.gov,,mailto:acquisition_gov.systemadmin@gsa.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,,,,,,Chief Acquisition Officers Council,,,,,,,,,,https://www.acquisition.gov/cao-home,Chief Acquisition Officers Council,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Drug Enforcement Administration,[usagov] Drug Enforcement Administration,https://www.dea.gov/who-we-are/contact-us,,https://www.dea.gov/who-we-are/contact-us,Contact the Drug Enforcement Administration,,,,,,,,,,,,,,,The Drug Enforcement Administration enforces the United States' controlled substance laws and regulations and aims to reduce the supply of and demand for such substances.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8701 Morrissette Drive,"Springfield,",VA,22152,,,Drug Enforcement Administration,1-202-307-1000,,,,,,,,,https://www.dea.gov/,Drug Enforcement Administration,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Denali Commission,[usagov] Denali Commission,https://www.denali.gov/contact/,Contact the Denali Commission,https://www.denali.gov/about/our-staff/,Staff Directory,,,,,,,,,,,,,,,"The Denali Commission provides critical utilities, infrastructure, and economic support throughout Alaska.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510 L St.,Suite 410,"Anchorage,",AK,99501,,Denali Commission,1-907-271-1414,,,1-888-480-4321,,,,,,https://www.denali.gov/,Denali Commission,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Delta Regional Authority,[usagov] Delta Regional Authority,https://dra.gov/accountability/connect/,,https://dra.gov/accountability/connect/,Contact the Delta Regional Authority,,,,,,,,,,,,,,,"The Delta Regional Authority is a partnership to improve economic and community growth in eight states. Those states are Alabama, Arkansas, Illinois, Kentucky, Louisiana, Mississippi, Missouri, and Tennessee.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"400 North Capitol St., NW",Suite 365,"Washington,",DC,20002,,Delta Regional Authority,1-202-434-4870,,,,,,,,,https://dra.gov/,Delta Regional Authority,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Delaware River Basin Commission,[usagov] Delaware River Basin Commission,http://www.nj.gov/drbc/contact/,Contact the Delaware River Basin Commission,http://www.nj.gov/drbc/about/staff/index.html,Staff Directory,,,,,,,,,,,,,,,"In 1961, the federal government and the governments of Delaware, New Jersey, Pennsylvania, and New York, entered into an agreement that created the Delaware River Basin Commission. The Commission has the independent legal authority to oversee and manage the Delaware River Basin.",,,,,http://www.nj.gov/drbc/contact/directions/,,http://www.nj.gov/drbc/contact/directions/,Directions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 State Police Dr.,P.O. Box 7360,"West Trenton,",NJ,08628-0360,,Delaware River Basin Commission,1-609-883-9500,,,,,,,,,http://www.state.nj.us/drbc/,Delaware River Basin Commission,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Defense Threat Reduction Agency,[usagov] Defense Threat Reduction Agency,https://www.dtra.mil/Contact-Us/,,https://www.dtra.mil/Contact-Us/,Contact the Defense Threat Reduction Agency,,,,,,,,,,,,,,,The Defense Threat Reduction Agency is a combat support agency whose goal is to reduce the threat posed by weapons of mass destruction.,mailto:dtra.publicaffairs@dtra.mil,,mailto:dtra.publicaffairs@dtra.mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8725 John J. Kingman Rd.,Stop 6201,"Ft. Belvoir,",VA,22060-6201,,Defense Threat Reduction Agency,1-703-767-5870,,,1-800-701-5096,,,,,,https://www.dtra.mil,Defense Threat Reduction Agency (DTRA),,,,,,
/US FEDERAL GOVERNMENT/[usagov] Defense Technical Information Center,[usagov] Defense Technical Information Center,https://discover.dtic.mil/contact-us/,Contact the Defense Technical Information Center,https://discover.dtic.mil/contact-us/,Email Directory,,,,,,,,,,,,,,,"The Defense Technical Information Center serves the Department of Defense as a repository of government funded scientific, technical, engineering and business related information.",mailto:dtic.belvoir.us.mbx.dtic-access@mail.mil,,mailto:dtic.belvoir.us.mbx.dtic-access@mail.mil,,https://discover.dtic.mil/contact-us/,,https://discover.dtic.mil/contact-us/,Directions to the Defense Technical Information Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8725 John J. Kingman Rd.,Suite 0944,"Ft. Belvoir,",VA,22060-6218,,Defense Technical Information Center,1-703-767-8274,,,1-800-225-3842,,,,,,https://discover.dtic.mil/,Defense Technical Information Center (DTIC),,,,,,
/US FEDERAL GOVERNMENT/[usagov] Forest Service,[usagov] Forest Service,https://www.fs.usda.gov/about-agency/contact-us,,https://www.fs.usda.gov/about-agency/contact-us,Contact the Forest Service,,,,,,,,,,,,,,,"The Forest Service works to sustain the health, diversity, and productivity of the nation's forests and grasslands.",mailto:webmaster@fs.fed.us,,mailto:webmaster@fs.fed.us,,https://www.fs.usda.gov/organization,Contact Forest Service Regional Offices,https://www.fs.usda.gov/visit/forests-and-grasslands,Locate a Forest or Grassland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1400 Independence Ave., SW","Washington,",DC,20250-1111,,,Forest Service,,,,1-800-832-1355,,,,,,https://www.fs.usda.gov/,Forest Service,,,,,,
