path,name,usgovmanual_addresses_0_email,usgovmanual_addresses_0_fax,usgovmanual_addresses_0_phone,usgovmanual_addresses_0_phone2,usgovmanual_addresses_0_url,usgovmanual_addresses_1_email,usgovmanual_addresses_1_fax,usgovmanual_addresses_1_phone,usgovmanual_addresses_1_url,usgovmanual_addresses_2_email,usgovmanual_addresses_2_phone,usgovmanual_category,usgovmanual_id,usgovmanual_mission_statement_records_0_text,usgovmanual_mission_statement_records_1_note,usgovmanual_mission_statement_records_1_text,usgovmanual_name,usgovmanual_organization_chart
/US FEDERAL GOVERNMENT/[usgovmanual] Office of Government Ethics (166),[usgovmanual] Office of Government Ethics (166),,202-482-9237,202-482-9300,(TTY) 800-877-8339,http://www.oge.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,166,The Office of Government Ethics leads and oversees the executive branch program for preventing and resolving conflicts of interest.,,,Office of Government Ethics,
/US FEDERAL GOVERNMENT/[usgovmanual] Office of Personnel Management (167),[usgovmanual] Office of Personnel Management (167),,,202-606-1800,"TTY, 202-606-2532",http://www.opm.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,167,"The Office of Personnel Management administers a merit system to ensure compliance with personnel laws and regulations and assists agencies with recruiting, examining, and promoting on the basis of skills and knowledge irrespective of race, religion, sex, political influence, or other factors not based on merit.",,,Office of Personnel Management,
/US FEDERAL GOVERNMENT/[usgovmanual] Office of the Director of National Intelligence (165),[usgovmanual] Office of the Director of National Intelligence (165),,,703-733-8600,,http://www.dni.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,165,The Office of the Director of National Intelligence oversees and coordinates the foreign and domestic activities of the Intelligence Community across the Federal Government.,,,Office of the Director of National Intelligence,
/US FEDERAL GOVERNMENT/[usgovmanual] Peace Corps (170),[usgovmanual] Peace Corps (170),,202-692-2231,855-855-1961,202-692-2000,http://www.peacecorps.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,170,"The Peace Corps gives the peoples of host countries increased access to volunteers who are qualified, skilled, and trained, and it strengthens mutual understanding between Americans and the peoples of the countries served.",,,Peace Corps,
/US FEDERAL GOVERNMENT/[usgovmanual] Overseas Private Investment Corporation (169),[usgovmanual] Overseas Private Investment Corporation (169),,202-336-7949,202-336-8400,,http://www.opic.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,169,The Overseas Private Investment Corporation promotes economic growth and job opportunities both at home and abroad by encouraging U.S. private investment in developing countries and emerging markets.,,,Overseas Private Investment Corporation,
/US FEDERAL GOVERNMENT/[usgovmanual] Pension Benefit Guaranty Corporation (171),[usgovmanual] Pension Benefit Guaranty Corporation (171),,,202-326-4000,800-400-7242,http://www.pbgc.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,171,The Pension Benefit Guaranty Corporation protects the retirement incomes of American workers in private-sector defined benefit pension plans.,,,Pension Benefit Guaranty Corporation,https://govmanual.gpo.gov/ReadLibraryItem.ashx?SFN=UeeDO8j6e0dG7ahKrxI9AcDdGsxglZVj&SF=PAmu4nDRyaoCugTKvsXyXx/6G6ZqqOY1fk7ZHZboqk4=
/US FEDERAL GOVERNMENT/[usgovmanual] Postal Regulatory Commission (172),[usgovmanual] Postal Regulatory Commission (172),,202-789-6861,202-789-6800,,http://www.prc.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,172,The Postal Regulatory Commission develops and implements a modern system of postal rate regulation.,,,Postal Regulatory Commission,
/US FEDERAL GOVERNMENT/[usgovmanual] Railroad Retirement Board (173),[usgovmanual] Railroad Retirement Board (173),opa@rrb.gov,312-751-7154,312-751-4777,,http://www.rrb.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,173,The Railroad Retirement Board administers comprehensive retirement-survivor and unemployment-sickness benefit programs for the Nation's railroad workers and their families.,,,Railroad Retirement Board,
/US FEDERAL GOVERNMENT/[usgovmanual] Securities and Exchange Commission (174),[usgovmanual] Securities and Exchange Commission (174),,,202-551-7500,,http://www.sec.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,174,"The Securities and Exchange Commission protects investors, facilitates capital formation, and maintains efficient, fair, and orderly markets.",,,Securities and Exchange Commission,
/US FEDERAL GOVERNMENT/[usgovmanual] Selective Service System (175),[usgovmanual] Selective Service System (175),,,703-605-4100,,http://www.sss.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,175,The Selective Service System supplies the Armed Forces with manpower in an emergency and operates an Alternative Service Program for men classified as conscientious objectors.,,,Selective Service System,
/US FEDERAL GOVERNMENT/[usgovmanual] Small Business Administration (176),[usgovmanual] Small Business Administration (176),,202-205-7064,202-205-6600,,http://www.sba.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,176,"The Small Business Administration aids, assists, and counsels entrepreneurs and protects their business interests; preserves free and competitive enterprise; and maintains and strengthens the overall economy.",,,Small Business Administration,
/US FEDERAL GOVERNMENT/[usgovmanual] Surface Transportation Board (335),[usgovmanual] Surface Transportation Board (335),rcpa@stb.gov,,202-245-0245,,http://www.stb.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,335,The Surface Transportation Board adjudicates and resolves railroad rate and service disputes and reviews proposals for railroad mergers.,,,Surface Transportation Board,
/US FEDERAL GOVERNMENT/[usgovmanual] Social Security Administration (177),[usgovmanual] Social Security Administration (177),,,410-965-1234 / 800-772-1213,800-325-0778 (TTY),http://www.socialsecurity.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,177,"The Social Security Administration manages the retirement, survivors, and disability insurance programs that are known as Social Security; it administers the Supplemental Security Income program for the aged, blind, and disabled; and it assigns Social Security numbers to U.S. citizens and maintains earnings records based on those numbers.",,,Social Security Administration,
/US FEDERAL GOVERNMENT/[usgovmanual] Tennessee Valley Authority (178),[usgovmanual] Tennessee Valley Authority (178),,,865-632-2101,,http://www.tva.com,,,,,,,Executive Branch: Independent Agencies and Government Corporations,178,The Tennessee Valley Authority conducts a unified program of resource development to advance economic growth in the Tennessee Valley region.,,,Tennessee Valley Authority,
/US FEDERAL GOVERNMENT/[usgovmanual] United States African Development Foundation (128),[usgovmanual] United States African Development Foundation (128),,202-673-3810,202-233-8800,,http://www.usadf.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,128,The United States African Development Foundation provides seed capital and technical assistance to support African-led development that grows community enterprises.,,,United States African Development Foundation,
/US FEDERAL GOVERNMENT/[usgovmanual] Trade and Development Agency (179),[usgovmanual] Trade and Development Agency (179),,703-875-4009,703-875-4357,,http://www.ustda.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,179,The Trade and Development Agency advances economic development and U.S. commercial interest in developing and middle-income countries.,,,Trade and Development Agency,https://govmanual.gpo.gov/ReadLibraryItem.ashx?SFN=MFGokbhL0zEJ063AwpQpj9a5gLY8+MzZ&SF=PAmu4nDRyaoCugTKvsXyXx/6G6ZqqOY1fk7ZHZboqk4=
/US FEDERAL GOVERNMENT/[usgovmanual] United States Agency for Global Media (129),[usgovmanual] United States Agency for Global Media (129),,,202-203-4545,,http://www.usagm.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,129,"The U.S. Agency for Global Media informs, engages, and connects people around the world in support of freedom and democracy.",,,United States Agency for Global Media,
/US FEDERAL GOVERNMENT/[usgovmanual] United States Agency for International Development (180),[usgovmanual] United States Agency for International Development (180),,,202-712-0000,,http://www.usaid.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,180,The United States Agency for International Development seeks to eradicate extreme global poverty and enables resilient and democratic societies to realize their potential.,,,United States Agency for International Development,
/US FEDERAL GOVERNMENT/[usgovmanual] United States Commission on Civil Rights (181),[usgovmanual] United States Commission on Civil Rights (181),,,202-376-8128,800-977-8339 (FedRelay),http://www.usccr.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,181,The Commission on Civil Rights informs the development of national civil rights policy and enhances enforcement of Federal civil rights laws.,,,United States Commission on Civil Rights,https://govmanual.gpo.gov/ReadLibraryItem.ashx?SFN=Nw/rc3LbONHbVh/TratLDZjllbVsBruZ&SF=PAmu4nDRyaoCugTKvsXyXx/6G6ZqqOY1fk7ZHZboqk4=
/US FEDERAL GOVERNMENT/[usgovmanual] United States International Trade Commission (182),[usgovmanual] United States International Trade Commission (182),,,202-205-2000,,http://www.usitc.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,182,"The United States International Trade Commission provides the President, the U.S. Trade Representative, and the Congress with independent analysis of and information on tariffs, international trade, and the Nation's competitiveness; makes determinations in proceedings involving imports that may harm a domestic industry or violate U.S. intellectual property rights; and maintains the Harmonized Tariff Schedule of the United States.",,,United States International Trade Commission,
/US FEDERAL GOVERNMENT/[usgovmanual] United States Office of Special Counsel (168),[usgovmanual] United States Office of Special Counsel (168),,202-653-5151,202-804-7000,800-872-9855,http://www.osc.gov,,,,,,,Executive Branch: Independent Agencies and Government Corporations,168,"The United States Office of Special Counsel investigates allegations of certain activities prohibited by civil service laws, rules, or regulations and litigates before the Merit Systems Protection Board.",,,United States Office of Special Counsel,
/US FEDERAL GOVERNMENT/[usgovmanual] United States Postal Service (183),[usgovmanual] United States Postal Service (183),,,202-268-2000,,http://about.usps.com,,,,,,,Executive Branch: Independent Agencies and Government Corporations,183,"The United States Postal Service binds the Nation together through the people's personal, educational, literary, and business correspondence by providing prompt, reliable, and efficient services to patrons in all areas and by rendering postal services to all communities.",,,United States Postal Service,
/US FEDERAL GOVERNMENT/[usgovmanual] Legal Services Corporation (185),[usgovmanual] Legal Services Corporation (185),,202-337-6797,202-295-1500,,http://www.lsc.gov,,,,,,,Quasi-Official Agencies,185,The Legal Services Corporation promotes equal access to justice and provides civil legal assistance to low-income persons.,,,Legal Services Corporation,
/US FEDERAL GOVERNMENT/[usgovmanual] Smithsonian Institution (186),[usgovmanual] Smithsonian Institution (186),,,202-633-1000,,http://www.si.edu,,,,,,,Quasi-Official Agencies,186,The Smithsonian Institution increases the fund of human knowledge and diffuses that knowledge among people.,,,Smithsonian Institution,
/US FEDERAL GOVERNMENT/[usgovmanual] State Justice Institute (187),[usgovmanual] State Justice Institute (187),contact@sji.gov,,571-313-8843,,http://www.sji.gov,,,,,,,Quasi-Official Agencies,187,The State Justice Institute supports the Nation's judicial system and the public that it serves.,,,State Justice Institute,
/US FEDERAL GOVERNMENT/[usgovmanual] United States Holocaust Memorial Museum (333),[usgovmanual] United States Holocaust Memorial Museum (333),,,202-488-0400,"TTY, 202-488-0406",http://www.ushmm.org,,,,,,,Quasi-Official Agencies,333,"The United States Holocaust Memorial Museum promotes documentation, study, and interpretation of the Holocaust and maintains a permanent living memorial to its victims.",,,United States Holocaust Memorial Museum,
/US FEDERAL GOVERNMENT/[usgovmanual] United States Institute of Peace (188),[usgovmanual] United States Institute of Peace (188),,202-429-6063,202-457-1700,,http://www.usip.org,,,,,,,Quasi-Official Agencies,188,"The United States Institute of Peace prevents, mitigates, and resolves violent conflicts around the world.",,,United States Institute of Peace,
/US FEDERAL GOVERNMENT/[usgovmanual] African Development Bank (189),[usgovmanual] African Development Bank (189),afdb@afdb.org,,+225 20 26 10 20,,http://www.afdb.org,,,,,,,International Organizations,189,"The African Development Bank reduces poverty in Arica, improves living conditions for Africans, and mobilizes resources for economic and social development throughout the continent.",,,African Development Bank,
/US FEDERAL GOVERNMENT/[usgovmanual] Asian Development Bank (196),[usgovmanual] Asian Development Bank (196),information@adb.org,+632 636-2444,+632 632-4444,,http://www.adb.org,,202 728 1505,202-728-1500,,,,International Organizations,196,The Asian Development Bank stimulates sustainable economic development and social progress in member countries to mitigate poverty and its effects.,,,Asian Development Bank,
/US FEDERAL GOVERNMENT/[usgovmanual] European Bank for Reconstruction and Development (237),[usgovmanual] European Bank for Reconstruction and Development (237),,,+44 20 7338 6000,,http://www.ebrd.com,,,,,,,International Organizations,237,The European Bank for Reconstruction and Development develops open and sustainable market economies in democratic countries.,,,European Bank for Reconstruction and Development,
/US FEDERAL GOVERNMENT/[usgovmanual] Inter-American Defense Board (190),[usgovmanual] Inter-American Defense Board (190),protocol@jid.org,202-319-2791,202-939-6041,,http://iadb.jid.org,,,,,,,International Organizations,190,,,,Inter-American Defense Board,
/US FEDERAL GOVERNMENT/[usgovmanual] Inter-American Development Bank (197),[usgovmanual] Inter-American Development Bank (197),,202-623-3096,202-623-1000,,http://www.iadb.org,,,,,,,International Organizations,197,,,,Inter-American Development Bank,
/US FEDERAL GOVERNMENT/[usgovmanual] Inter-American Investment Corporation (200),[usgovmanual] Inter-American Investment Corporation (200),,,202-623-3901,,http://www.iic.org/en,,,,,,,International Organizations,200,The Inter-American Development Bank promotes development in Latin America and the Caribbean through the private sector.,,,Inter-American Investment Corporation,
/US FEDERAL GOVERNMENT/[usgovmanual] International Monetary Fund (191),[usgovmanual] International Monetary Fund (191),,202-623-4661,202-623-7000,,http://www.imf.org,,,,,,,International Organizations,191,"The International Monetary Fund fosters global monetary cooperation, secures financial stability, facilitates international trade, promotes employment and sustainable economic growth, and reduces poverty worldwide.",,,International Monetary Fund,
/US FEDERAL GOVERNMENT/[usgovmanual] International Organization for Migration (192),[usgovmanual] International Organization for Migration (192),hq@iom.int,,011-41-22-717-9111,,http://www.iom.int,IOMWashington@iom.int,,202-862-1826,,newyork@iom.int,212-681-7000,International Organizations,192,"The International Organization for Migration analyzes and addresses underlying issues of migration; deals with the operational challenges of migration management; promotes economic and social development through migration; and champions the dignity and well-being of migrants, while confronting xenophobic narratives that hurt them.",,,International Organization for Migration,
/US FEDERAL GOVERNMENT/[usgovmanual] Organization of American States (193),[usgovmanual] Organization of American States (193),,202-458-3967,202-370-5000,,http://www.oas.org/en,,,,,,,International Organizations,193,"The Organization of American States seeks an order of peace and justice among its member states, promotes their solidarity and strengthens their collaboration, and defends their sovereignty, territorial integrity, and independence.",,,Organization of American States,
/US FEDERAL GOVERNMENT/[usgovmanual] United Nations (194),[usgovmanual] United Nations (194),,,212-963-1234,,http://www.un.org,unicdc@unic.org,202-331-9191,202-331-8670,http://www.unicwash.org,,,International Organizations,194,"The United Nations supports tolerance and peaceful coexistence among the nations; seeks to maintain peace and security among them; opposes the use of armed force, except in the common interest; and promotes the economic and social advancement of all peoples.",,,United Nations,
/US FEDERAL GOVERNMENT/[usgovmanual] World Bank Group (198),[usgovmanual] World Bank Group (198),,202-477-6391,202-473-1000,,http://www.worldbank.org,,,,,,,International Organizations,198,The World Bank Group promotes shared global prosperity and seeks to end extreme poverty.,,,World Bank Group,
